index,County,Precinct,Registered Voters,Alan Powell (I) (Rep)_Election Day Votes,Alan Powell (I) (Rep)_Advanced Voting Votes,Alan Powell (I) (Rep)_Absentee by Mail Votes,Alan Powell (I) (Rep)_Provisional Votes,Alan Powell (I) (Rep)_Choice Total,Alisha Allen (Dem)_Election Day Votes,Alisha Allen (Dem)_Advanced Voting Votes,Alisha Allen (Dem)_Absentee by Mail Votes,Alisha Allen (Dem)_Provisional Votes,Alisha Allen (Dem)_Choice Total,Total,
0,Franklin,Carnesville,2382,256,1094,228,0,1578,22,81,62,0,165,1743,
1,Franklin,West Franklin,1764,317,571,176,0,1064,37,46,35,0,118,1182,
2,Franklin,Northeast Franklin,2935,443,1005,330,2,1780,48,108,104,0,260,2040,
3,Franklin,Lavonia,2355,305,751,207,0,1263,91,118,106,0,315,1578,
4,Franklin,Canon,1244,288,403,116,0,807,28,40,23,0,91,898,
5,Franklin,Royston,2034,288,646,232,0,1166,63,90,87,0,240,1406,
6,Franklin,Southwest Franklin,2432,402,945,222,0,1569,25,75,54,0,154,1723,
