index,County,Precinct,Registered Voters,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_Choice Total,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_Choice Total,Total,
0,Franklin,Carnesville,2382,252,1088,221,0,1561,27,82,66,0,175,1736,
1,Franklin,West Franklin,1764,315,568,169,0,1052,36,45,42,0,123,1175,
2,Franklin,Northeast Franklin,2935,435,999,310,2,1746,51,105,131,0,287,2033,
3,Franklin,Lavonia,2355,298,731,185,0,1214,94,131,131,0,356,1570,
4,Franklin,Canon,1244,280,401,110,0,791,32,41,29,0,102,893,
5,Franklin,Royston,2034,291,621,220,0,1132,59,106,96,0,261,1393,
6,Franklin,Southwest Franklin,2432,408,936,213,0,1557,18,80,65,0,163,1720,
