index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Seminole,Precinct 1,1292,232,424,98,0,754,754,
1,Seminole,Precinct 2,1122,131,407,76,0,614,614,
2,Seminole,Precinct 3,1174,104,200,56,0,360,360,
3,Seminole,Precinct 4,1121,257,341,67,0,665,665,
4,Seminole,Precinct 5,1227,336,334,92,0,762,762,
