index,County,Precinct,Registered Voters,Heath Elliott (I) (Rep)_Election Day Votes,Heath Elliott (I) (Rep)_Advanced Voting Votes,Heath Elliott (I) (Rep)_Absentee by Mail Votes,Heath Elliott (I) (Rep)_Provisional Votes,Heath Elliott (I) (Rep)_Choice Total,Total,
0,Seminole,Precinct 1,1292,237,448,102,0,787,787,
1,Seminole,Precinct 2,1122,131,419,85,0,635,635,
2,Seminole,Precinct 3,1174,117,256,79,0,452,452,
3,Seminole,Precinct 4,1121,272,354,76,0,702,702,
4,Seminole,Precinct 5,1227,333,334,106,0,773,773,
