index,County,Precinct,Registered Voters,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,86,265,155,0,506,506,
1,Liberty,Lyman Hall School,4542,335,955,549,0,1839,1839,
2,Liberty,Lewis Frasier School,4317,282,1280,606,0,2168,2168,
3,Liberty,Memorial Dr East,1976,121,410,262,0,793,793,
4,Liberty,Button Gwinnett,2304,129,192,105,0,426,426,
5,Liberty,Town of Allenhurst,2398,190,702,318,0,1210,1210,
6,Liberty,Hinesville,1984,123,496,223,0,842,842,
7,Liberty,Liberty County Complex,4379,261,1337,484,0,2082,2082,
8,Liberty,Walthourville,3016,207,808,335,0,1350,1350,
9,Liberty,Fleming West,505,48,130,74,0,252,252,
10,Liberty,Fleming East,3239,321,891,319,0,1531,1531,
11,Liberty,Gum Branch,3193,259,704,322,0,1285,1285,
12,Liberty,Hinesville Lodge 271,2646,219,601,373,0,1193,1193,
