index,County,Precinct,Registered Voters,Donald L. Lovette (I) (Dem)_Election Day Votes,Donald L. Lovette (I) (Dem)_Advanced Voting Votes,Donald L. Lovette (I) (Dem)_Absentee by Mail Votes,Donald L. Lovette (I) (Dem)_Provisional Votes,Donald L. Lovette (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,104,387,203,0,694,694,
1,Liberty,Lyman Hall School,4542,383,1162,661,0,2206,2206,
2,Liberty,Lewis Frasier School,4317,302,1438,695,0,2435,2435,
3,Liberty,Memorial Dr East,1976,140,499,310,0,949,949,
4,Liberty,Button Gwinnett,2304,130,201,120,0,451,451,
5,Liberty,Town of Allenhurst,2398,217,840,379,0,1436,1436,
6,Liberty,Hinesville,1984,135,548,269,0,952,952,
7,Liberty,Liberty County Complex,4379,267,1487,609,0,2363,2363,
8,Liberty,Walthourville,3016,219,971,396,0,1586,1586,
9,Liberty,Fleming West,505,57,153,97,0,307,307,
10,Liberty,Fleming East,3239,305,879,320,0,1504,1504,
11,Liberty,Gum Branch,3193,266,775,372,0,1413,1413,
12,Liberty,Hinesville Lodge 271,2646,239,739,414,0,1392,1392,
