index,County,Precinct,Registered Voters,Gary Gilliard (I) (Dem)_Election Day Votes,Gary Gilliard (I) (Dem)_Advanced Voting Votes,Gary Gilliard (I) (Dem)_Absentee by Mail Votes,Gary Gilliard (I) (Dem)_Provisional Votes,Gary Gilliard (I) (Dem)_Choice Total,Total,
0,Liberty,Lyman Hall School,4542,61,191,106,0,358,358,
1,Liberty,Lewis Frasier School,4317,24,101,55,0,180,180,
2,Liberty,Memorial Dr East,1976,140,477,300,0,917,917,
3,Liberty,Town of Allenhurst,2398,149,566,254,0,969,969,
4,Liberty,Hinesville,1984,4,11,3,0,18,18,
5,Liberty,Walthourville,3016,8,17,5,0,30,30,
6,Liberty,Fleming West,505,23,80,58,0,161,161,
7,Liberty,Hinesville Lodge 271,2646,10,29,23,0,62,62,
