index,County,Precinct,Registered Voters,"Reginald L. Pierce, Sr. (I) (Dem)_Election Day Votes","Reginald L. Pierce, Sr. (I) (Dem)_Advanced Voting Votes","Reginald L. Pierce, Sr. (I) (Dem)_Absentee by Mail Votes","Reginald L. Pierce, Sr. (I) (Dem)_Provisional Votes","Reginald L. Pierce, Sr. (I) (Dem)_Choice Total",Total,
0,Liberty,Riceboro Youth Center,1083,111,391,209,0,711,711,
1,Liberty,Lyman Hall School,4542,375,1162,661,0,2198,2198,
2,Liberty,Lewis Frasier School,4317,299,1444,716,0,2459,2459,
3,Liberty,Memorial Dr East,1976,143,499,311,0,953,953,
4,Liberty,Button Gwinnett,2304,132,204,123,0,459,459,
5,Liberty,Town of Allenhurst,2398,214,852,380,0,1446,1446,
6,Liberty,Hinesville,1984,137,544,273,0,954,954,
7,Liberty,Liberty County Complex,4379,271,1530,615,0,2416,2416,
8,Liberty,Walthourville,3016,220,967,399,0,1586,1586,
9,Liberty,Fleming West,505,58,159,102,0,319,319,
10,Liberty,Fleming East,3239,301,888,329,0,1518,1518,
11,Liberty,Gum Branch,3193,261,803,378,0,1442,1442,
12,Liberty,Hinesville Lodge 271,2646,242,733,424,0,1399,1399,
