index,County,Precinct,Registered Voters,Will Bowman (Dem)_Election Day Votes,Will Bowman (Dem)_Advanced Voting Votes,Will Bowman (Dem)_Absentee by Mail Votes,Will Bowman (Dem)_Provisional Votes,Will Bowman (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,108,377,209,0,694,694,
1,Liberty,Lyman Hall School,4542,381,1166,654,0,2201,2201,
2,Liberty,Lewis Frasier School,4317,301,1462,699,0,2462,2462,
3,Liberty,Memorial Dr East,1976,148,504,315,0,967,967,
4,Liberty,Button Gwinnett,2304,128,201,122,0,451,451,
5,Liberty,Town of Allenhurst,2398,218,853,380,0,1451,1451,
6,Liberty,Hinesville,1984,132,543,265,0,940,940,
7,Liberty,Liberty County Complex,4379,268,1462,600,0,2330,2330,
8,Liberty,Walthourville,3016,222,981,397,0,1600,1600,
9,Liberty,Fleming West,505,56,151,94,0,301,301,
10,Liberty,Fleming East,3239,294,863,317,0,1474,1474,
11,Liberty,Gum Branch,3193,270,790,371,0,1431,1431,
12,Liberty,Hinesville Lodge 271,2646,240,743,415,0,1398,1398,
