County,Precinct,Registered Voters,George Hartwig (I) (Rep)_Election Day Votes,George Hartwig (I) (Rep)_Advanced Voting Votes,George Hartwig (I) (Rep)_Absentee by Mail Votes,George Hartwig (I) (Rep)_Provisional Votes,George Hartwig (I) (Rep)_Choice Total,Erikka B. Williams (Dem)_Election Day Votes,Erikka B. Williams (Dem)_Advanced Voting Votes,Erikka B. Williams (Dem)_Absentee by Mail Votes,Erikka B. Williams (Dem)_Provisional Votes,Erikka B. Williams (Dem)_Choice Total,Total Votes
Houston,ANNX,4512.0,421.0,1055.0,527.0,5.0,2008.0,223.0,607.0,553.0,1.0,1384.0,3392.0
Houston,BMS,9536.0,1176.0,2213.0,990.0,0.0,4379.0,542.0,1448.0,1081.0,3.0,3074.0,7453.0
Houston,CENT,7795.0,856.0,1402.0,693.0,1.0,2952.0,502.0,1107.0,882.0,3.0,2494.0,5446.0
Houston,CGTC,4860.0,478.0,1134.0,401.0,4.0,2017.0,234.0,831.0,517.0,0.0,1582.0,3599.0
Houston,FMMS,8767.0,933.0,1601.0,588.0,1.0,3123.0,647.0,1628.0,1003.0,2.0,3280.0,6403.0
Houston,HAFS,1805.0,534.0,305.0,109.0,0.0,948.0,184.0,122.0,104.0,1.0,411.0,1359.0
Houston,HCTC,6361.0,480.0,874.0,473.0,2.0,1829.0,496.0,903.0,692.0,4.0,2095.0,3924.0
Houston,HEFS,1372.0,301.0,224.0,88.0,2.0,615.0,187.0,112.0,107.0,6.0,412.0,1027.0
Houston,HHPC,9610.0,624.0,1315.0,705.0,4.0,2648.0,730.0,1356.0,1162.0,3.0,3251.0,5899.0
Houston,MCMS,9181.0,958.0,2170.0,713.0,7.0,3848.0,506.0,1547.0,965.0,2.0,3020.0,6868.0
Houston,NSES,2441.0,338.0,448.0,230.0,1.0,1017.0,178.0,290.0,288.0,0.0,756.0,1773.0
Houston,RECR,9277.0,306.0,463.0,273.0,3.0,1045.0,1006.0,1471.0,1396.0,11.0,3884.0,4929.0
Houston,ROZR,13802.0,1268.0,3186.0,1184.0,4.0,5642.0,893.0,1992.0,1228.0,6.0,4119.0,9761.0
Houston,TMS,5286.0,385.0,645.0,339.0,5.0,1374.0,512.0,961.0,724.0,2.0,2199.0,3573.0
Houston,TWPK,4415.0,563.0,802.0,397.0,1.0,1763.0,326.0,664.0,450.0,3.0,1443.0,3206.0
Houston,VHS,6295.0,858.0,1567.0,430.0,4.0,2859.0,382.0,926.0,537.0,0.0,1845.0,4704.0
