County,Precinct,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total Votes
Chatham,1-01C First Presbyterian Church3187,3187.0,384.0,520.0,489.0,0.0,1393.0,149.0,544.0,433.0,0.0,1126.0,2519.0
Chatham,1-05C JEA Building,2106.0,243.0,309.0,251.0,1.0,804.0,128.0,338.0,269.0,1.0,736.0,1540.0
Chatham,1-06C Central Church of Christ2035,2035.0,363.0,354.0,341.0,1.0,1059.0,89.0,196.0,197.0,1.0,483.0,1542.0
Chatham,1-08C Grace United Methodist Church1667,1667.0,310.0,250.0,207.0,0.0,767.0,102.0,194.0,132.0,1.0,429.0,1196.0
Chatham,1-09C Immanuel Baptist Church 739,739.0,91.0,61.0,43.0,2.0,197.0,62.0,90.0,90.0,1.0,243.0,440.0
Chatham,1-10C St Thomas Episcopal Church1101,1101.0,357.0,212.0,205.0,2.0,776.0,34.0,61.0,61.0,0.0,156.0,932.0
Chatham,1-12C Isle of Hope Baptist,1909.0,546.0,443.0,358.0,1.0,1348.0,57.0,110.0,103.0,0.0,270.0,1618.0
Chatham,1-13C The Sanctuary,1396.0,257.0,253.0,137.0,1.0,648.0,80.0,125.0,147.0,0.0,352.0,1000.0
Chatham,1-14C Compassion Christian Church1718,1718.0,244.0,373.0,273.0,1.0,891.0,73.0,150.0,152.0,0.0,375.0,1266.0
Chatham,1-16C Ferguson Ave Baptist,2905.0,610.0,674.0,351.0,4.0,1639.0,123.0,179.0,148.0,1.0,451.0,2090.0
Chatham,1-17C Islands Christian Church3136,3136.0,498.0,893.0,554.0,0.0,1945.0,75.0,180.0,317.0,1.0,573.0,2518.0
Chatham,2-02C Blackshear Community Center1714,1714.0,58.0,98.0,75.0,1.0,232.0,201.0,232.0,189.0,8.0,630.0,862.0
Chatham,2-03C W W Law Center,1609.0,65.0,73.0,57.0,1.0,196.0,186.0,224.0,209.0,1.0,620.0,816.0
Chatham,2-04C Fellowship of Love Church3178,3178.0,67.0,57.0,52.0,0.0,176.0,417.0,581.0,574.0,1.0,1573.0,1749.0
Chatham,2-05C Holy Spirit Lutheran Church2079,2079.0,59.0,99.0,66.0,1.0,225.0,274.0,440.0,315.0,3.0,1032.0,1257.0
Chatham,2-06C Eli Whitney Complex,759.0,27.0,38.0,12.0,0.0,77.0,120.0,105.0,87.0,3.0,315.0,392.0
Chatham,2-07C Christ Community Church 2808,2808.0,112.0,128.0,97.0,0.0,337.0,327.0,522.0,378.0,2.0,1229.0,1566.0
Chatham,2-09C Salvation Army,3342.0,117.0,130.0,107.0,0.0,354.0,368.0,682.0,567.0,4.0,1621.0,1975.0
Chatham,2-11C Stillwell Towers,1900.0,55.0,72.0,54.0,0.0,181.0,302.0,248.0,244.0,3.0,797.0,978.0
Chatham,2-12C Williams Court Apts,1683.0,67.0,80.0,40.0,0.0,187.0,167.0,312.0,265.0,4.0,748.0,935.0
Chatham,3-01C Old Courthouse,458.0,52.0,55.0,62.0,0.0,169.0,19.0,57.0,53.0,1.0,130.0,299.0
Chatham,3-02C Temple Mickve Israel,1598.0,146.0,260.0,183.0,2.0,591.0,60.0,230.0,220.0,0.0,510.0,1101.0
Chatham,3-03C Savannah High School,1185.0,22.0,34.0,27.0,0.0,83.0,187.0,198.0,125.0,5.0,515.0,598.0
Chatham,3-04C First African Baptist Church1558,1558.0,36.0,21.0,24.0,0.0,81.0,306.0,236.0,232.0,0.0,774.0,855.0
Chatham,3-05C Aldersgate Youth Center 2107,2107.0,128.0,131.0,74.0,0.0,333.0,253.0,319.0,265.0,2.0,839.0,1172.0
Chatham,3-08C Jenkins High School,1210.0,94.0,103.0,67.0,0.0,264.0,117.0,227.0,170.0,0.0,514.0,778.0
Chatham,3-09C Cokesbury Methodist,664.0,177.0,93.0,72.0,2.0,344.0,50.0,58.0,67.0,0.0,175.0,519.0
Chatham,3-10C Bible Baptist Church,2640.0,115.0,90.0,74.0,0.0,279.0,375.0,495.0,424.0,2.0,1296.0,1575.0
Chatham,3-11C Southside Baptist Church1481,1481.0,58.0,71.0,54.0,1.0,184.0,236.0,255.0,192.0,2.0,685.0,869.0
Chatham,3-12C Thunderbolt Muni Complex1678,1678.0,278.0,199.0,118.0,0.0,595.0,160.0,179.0,210.0,1.0,550.0,1145.0
Chatham,3-13C New Cov 7 Day Adv Ch,2303.0,174.0,259.0,173.0,0.0,606.0,194.0,335.0,214.0,1.0,744.0,1350.0
Chatham,3-14C Oglethorpe Charter Academy2381,2381.0,88.0,172.0,117.0,0.0,377.0,245.0,462.0,425.0,1.0,1133.0,1510.0
Chatham,3-15C Eli Whitney Complex,816.0,60.0,144.0,127.0,0.0,331.0,62.0,112.0,133.0,0.0,307.0,638.0
Chatham,4-02C Frank Murray Comm Center2472,2472.0,348.0,567.0,242.0,0.0,1157.0,89.0,202.0,220.0,0.0,511.0,1668.0
Chatham,4-04C Lighthouse Baptist Church2470,2470.0,495.0,558.0,343.0,4.0,1400.0,83.0,152.0,183.0,0.0,418.0,1818.0
Chatham,4-05C St Francis Episcopal Church2244,2244.0,507.0,500.0,295.0,1.0,1303.0,96.0,163.0,161.0,0.0,420.0,1723.0
Chatham,4-06C First Baptist of the Island2252,2252.0,500.0,606.0,308.0,3.0,1417.0,70.0,125.0,163.0,0.0,358.0,1775.0
Chatham,4-07C Wilmington Island UMC,3370.0,571.0,795.0,476.0,4.0,1846.0,102.0,224.0,275.0,0.0,601.0,2447.0
Chatham,4-08C Wilmington Island Pres Church2678,2678.0,561.0,724.0,475.0,1.0,1761.0,79.0,150.0,191.0,1.0,421.0,2182.0
Chatham,4-10C Guard House Comm Ctr,1469.0,394.0,247.0,196.0,2.0,839.0,92.0,107.0,102.0,1.0,302.0,1141.0
Chatham,4-11C Tybee Island School Cafe1640,1640.0,537.0,196.0,213.0,1.0,947.0,128.0,85.0,94.0,0.0,307.0,1254.0
Chatham,4-12C St Peters Episcopal,2294.0,615.0,512.0,520.0,3.0,1650.0,54.0,90.0,162.0,0.0,306.0,1956.0
