County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,BERKSHIRE B,5338.0,128.0,558.0,378.0,3.0,1067.0,283.0,1347.0,812.0,5.0,2447.0,3514.0
Gwinnett,DUNCANS C,3040.0,342.0,1048.0,329.0,1.0,1720.0,82.0,399.0,249.0,0.0,730.0,2450.0
Gwinnett,GARNERS A,3520.0,210.0,816.0,479.0,1.0,1506.0,127.0,676.0,412.0,2.0,1217.0,2723.0
Gwinnett,LAWRENCEVILLE A,3635.0,169.0,511.0,294.0,1.0,975.0,234.0,600.0,366.0,3.0,1203.0,2178.0
Gwinnett,LAWRENCEVILLE B,5097.0,138.0,652.0,320.0,2.0,1112.0,214.0,1446.0,677.0,1.0,2338.0,3450.0
Gwinnett,MARTINS A,3303.0,143.0,237.0,130.0,2.0,512.0,310.0,747.0,400.0,4.0,1461.0,1973.0
Gwinnett,MARTINS B,3001.0,124.0,355.0,196.0,0.0,675.0,269.0,623.0,345.0,2.0,1239.0,1914.0
Gwinnett,MARTINS C,2549.0,172.0,327.0,218.0,1.0,718.0,223.0,494.0,319.0,5.0,1041.0,1759.0
Gwinnett,PINCKNEYVILLE A,2791.0,124.0,156.0,84.0,2.0,366.0,316.0,591.0,335.0,5.0,1247.0,1613.0
Gwinnett,PINCKNEYVILLE B,3485.0,121.0,248.0,144.0,2.0,515.0,287.0,731.0,371.0,5.0,1394.0,1909.0
