County,Precinct,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total Votes
Meriwether,Chalybeate,451.0,172.0,111.0,43.0,0.0,326.0,326.0
Meriwether,Gill I,1662.0,348.0,387.0,208.0,1.0,944.0,944.0
Meriwether,Gill II,1000.0,94.0,151.0,114.0,0.0,359.0,359.0
Meriwether,Odessadale,296.0,46.0,88.0,40.0,1.0,175.0,175.0
Meriwether,Greenville,2009.0,159.0,600.0,208.0,0.0,967.0,967.0
Meriwether,Lone Oak,1263.0,202.0,338.0,126.0,0.0,666.0,666.0
Meriwether,Luthersville,2760.0,471.0,744.0,246.0,0.0,1461.0,1461.0
Meriwether,Alvaton,1528.0,305.0,404.0,162.0,1.0,872.0,872.0
Meriwether,Gay,411.0,102.0,115.0,44.0,0.0,261.0,261.0
Meriwether,Woodbury,1363.0,217.0,321.0,135.0,0.0,673.0,673.0
Meriwether,Warm Springs,1161.0,215.0,313.0,114.0,1.0,643.0,643.0
Meriwether,Durand,730.0,175.0,170.0,74.0,0.0,419.0,419.0
Meriwether,Raleigh,501.0,122.0,167.0,46.0,0.0,335.0,335.0
Meriwether,Cove,202.0,91.0,29.0,32.0,0.0,152.0,152.0
Troup,Hollis Hand,3554.0,510.0,1324.0,541.0,1.0,2376.0,2376.0
Troup,Administration Bldg,3907.0,333.0,609.0,313.0,4.0,1259.0,1259.0
Troup,Hammett Rd,4354.0,480.0,932.0,425.0,5.0,1842.0,1842.0
Troup,Griggs Center,2457.0,171.0,222.0,140.0,4.0,537.0,537.0
Troup,West Point,2054.0,298.0,251.0,148.0,4.0,701.0,701.0
Troup,Hogansville,3806.0,387.0,1433.0,333.0,3.0,2156.0,2156.0
Troup,East Vernon,3117.0,639.0,1125.0,389.0,4.0,2157.0,2157.0
Troup,Rosemont,3893.0,614.0,1653.0,496.0,4.0,2767.0,2767.0
Troup,McClendon,3533.0,583.0,1487.0,344.0,7.0,2421.0,2421.0
Troup,Long Cane,3249.0,679.0,1080.0,283.0,3.0,2045.0,2045.0
Troup,Gardner Newman,2876.0,326.0,971.0,286.0,5.0,1588.0,1588.0
Troup,Gray Hill,1878.0,497.0,485.0,122.0,7.0,1111.0,1111.0
Troup,Highland,1686.0,171.0,448.0,150.0,2.0,771.0,771.0
Troup,Northside,2600.0,284.0,830.0,284.0,4.0,1402.0,1402.0
Heard,Centralhatchee,1767.0,380.0,586.0,185.0,0.0,1151.0,1151.0
Heard,Cooksville-Corinth,700.0,154.0,195.0,50.0,0.0,399.0,399.0
Heard,Enon Grove,1156.0,276.0,309.0,87.0,0.0,672.0,672.0
Heard,Ephesus,1321.0,418.0,299.0,132.0,0.0,849.0,849.0
Heard,Franklin,2178.0,293.0,716.0,241.0,1.0,1251.0,1251.0
Heard,Southwest,640.0,167.0,172.0,84.0,0.0,423.0,423.0
Carroll,Kansas,1165.0,446.0,268.0,88.0,0.0,802.0,802.0
Carroll,Bowdon,3289.0,691.0,753.0,279.0,1.0,1724.0,1724.0
Carroll,Sandhill,4459.0,569.0,1538.0,326.0,3.0,2436.0,2436.0
Carroll,Center Point,1775.0,461.0,625.0,160.0,1.0,1247.0,1247.0
Carroll,Mt Zion,2641.0,660.0,716.0,208.0,0.0,1584.0,1584.0
Carroll,Burwell,1564.0,410.0,411.0,144.0,2.0,967.0,967.0
Carroll,Clem,3695.0,512.0,1540.0,354.0,2.0,2408.0,2408.0
Carroll,Bowdon Junction,1547.0,263.0,443.0,121.0,0.0,827.0,827.0
Carroll,Tyus,1920.0,563.0,529.0,149.0,1.0,1242.0,1242.0
Carroll,Fairfield,3867.0,907.0,1205.0,351.0,0.0,2463.0,2463.0
Carroll,Hulett,2408.0,517.0,820.0,175.0,0.0,1512.0,1512.0
Carroll,Bethany,4779.0,498.0,1300.0,331.0,1.0,2130.0,2130.0
Carroll,V R County South,2942.0,330.0,1086.0,259.0,1.0,1676.0,1676.0
Carroll,V R County North,5472.0,631.0,1796.0,431.0,0.0,2858.0,2858.0
Carroll,Villa Rica City,7250.0,640.0,1977.0,540.0,0.0,3157.0,3157.0
Carroll,Temple County,4354.0,699.0,1358.0,317.0,3.0,2377.0,2377.0
Carroll,Temple City,3700.0,649.0,1014.0,252.0,3.0,1918.0,1918.0
Carroll,Whitesburg,2190.0,556.0,590.0,161.0,0.0,1307.0,1307.0
