County,Precinct,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total Votes
Richmond,101,896.0,117.0,130.0,78.0,1.0,326.0,64.0,138.0,111.0,2.0,315.0,641.0
Richmond,102,1278.0,57.0,73.0,43.0,0.0,173.0,126.0,158.0,184.0,3.0,471.0,644.0
Richmond,103,1428.0,9.0,16.0,21.0,0.0,46.0,154.0,293.0,263.0,2.0,712.0,758.0
Richmond,104,2976.0,34.0,52.0,47.0,0.0,133.0,420.0,521.0,558.0,5.0,1504.0,1637.0
Richmond,105,832.0,11.0,25.0,15.0,0.0,51.0,109.0,209.0,160.0,1.0,479.0,530.0
Richmond,106,1182.0,38.0,56.0,33.0,0.0,127.0,144.0,102.0,126.0,1.0,373.0,500.0
Richmond,107,1800.0,187.0,296.0,182.0,0.0,665.0,122.0,224.0,258.0,1.0,605.0,1270.0
Richmond,108,517.0,19.0,20.0,18.0,0.0,57.0,59.0,101.0,111.0,0.0,271.0,328.0
Richmond,109,1052.0,29.0,57.0,42.0,0.0,128.0,101.0,228.0,161.0,1.0,491.0,619.0
Richmond,111,1578.0,61.0,87.0,55.0,0.0,203.0,164.0,246.0,263.0,1.0,674.0,877.0
Richmond,112,882.0,18.0,89.0,105.0,0.0,212.0,46.0,116.0,145.0,2.0,309.0,521.0
Richmond,114,856.0,21.0,18.0,20.0,0.0,59.0,111.0,133.0,132.0,1.0,377.0,436.0
Richmond,201,581.0,18.0,14.0,18.0,0.0,50.0,240.0,260.0,216.0,5.0,721.0,771.0
Richmond,115,1332.0,43.0,40.0,30.0,0.0,113.0,44.0,48.0,51.0,0.0,143.0,256.0
Richmond,202,4492.0,226.0,308.0,236.0,0.0,770.0,485.0,705.0,501.0,9.0,1700.0,2470.0
Richmond,203,991.0,11.0,7.0,7.0,1.0,26.0,138.0,167.0,195.0,1.0,501.0,527.0
Richmond,204,1578.0,188.0,213.0,139.0,1.0,541.0,110.0,239.0,182.0,2.0,533.0,1074.0
Richmond,207,2705.0,56.0,60.0,43.0,0.0,159.0,335.0,424.0,402.0,8.0,1169.0,1328.0
Richmond,208,2651.0,82.0,113.0,79.0,1.0,275.0,307.0,459.0,374.0,3.0,1143.0,1418.0
Richmond,210,1507.0,45.0,67.0,52.0,1.0,165.0,144.0,307.0,337.0,3.0,791.0,956.0
Richmond,301,2409.0,343.0,607.0,327.0,1.0,1278.0,121.0,271.0,254.0,0.0,646.0,1924.0
Richmond,302,1032.0,31.0,72.0,53.0,0.0,156.0,136.0,204.0,112.0,0.0,452.0,608.0
Richmond,303,1417.0,169.0,467.0,212.0,1.0,849.0,34.0,138.0,117.0,0.0,289.0,1138.0
Richmond,304,365.0,56.0,68.0,51.0,0.0,175.0,13.0,45.0,41.0,0.0,99.0,274.0
Richmond,305,428.0,46.0,169.0,96.0,1.0,312.0,9.0,33.0,32.0,0.0,74.0,386.0
Richmond,306,3934.0,223.0,408.0,305.0,0.0,936.0,273.0,800.0,529.0,3.0,1605.0,2541.0
Richmond,307,1642.0,181.0,385.0,200.0,0.0,766.0,70.0,167.0,189.0,0.0,426.0,1192.0
Richmond,308,622.0,45.0,76.0,42.0,0.0,163.0,44.0,101.0,71.0,1.0,217.0,380.0
Richmond,309,3340.0,81.0,160.0,101.0,1.0,343.0,310.0,1072.0,719.0,2.0,2103.0,2446.0
Richmond,310,5163.0,237.0,396.0,198.0,0.0,831.0,412.0,1345.0,936.0,3.0,2696.0,3527.0
Richmond,401,2093.0,36.0,64.0,28.0,0.0,128.0,223.0,678.0,484.0,0.0,1385.0,1513.0
Richmond,402,3311.0,83.0,85.0,61.0,1.0,230.0,409.0,516.0,528.0,3.0,1456.0,1686.0
Richmond,404,1748.0,44.0,65.0,59.0,0.0,168.0,227.0,446.0,329.0,4.0,1006.0,1174.0
Richmond,405,4424.0,55.0,137.0,106.0,0.0,298.0,337.0,1438.0,1082.0,3.0,2860.0,3158.0
Richmond,406,3221.0,60.0,98.0,73.0,1.0,232.0,324.0,989.0,773.0,4.0,2090.0,2322.0
Richmond,501,3549.0,67.0,116.0,111.0,0.0,294.0,363.0,711.0,731.0,4.0,1809.0,2103.0
Richmond,502,4138.0,83.0,119.0,75.0,0.0,277.0,468.0,925.0,857.0,8.0,2258.0,2535.0
Richmond,503,4021.0,101.0,194.0,118.0,1.0,414.0,365.0,883.0,743.0,4.0,1995.0,2409.0
Richmond,504,2339.0,141.0,116.0,93.0,1.0,351.0,247.0,358.0,280.0,5.0,890.0,1241.0
Richmond,506,416.0,10.0,43.0,14.0,0.0,67.0,45.0,74.0,41.0,2.0,162.0,229.0
Richmond,507,968.0,47.0,73.0,47.0,0.0,167.0,130.0,201.0,125.0,1.0,457.0,624.0
Richmond,509,2172.0,62.0,88.0,69.0,2.0,221.0,199.0,597.0,422.0,3.0,1221.0,1442.0
Richmond,601,3988.0,152.0,261.0,124.0,6.0,543.0,335.0,795.0,537.0,11.0,1678.0,2221.0
Richmond,603,3570.0,394.0,407.0,274.0,0.0,1075.0,290.0,455.0,391.0,2.0,1138.0,2213.0
Richmond,604,1811.0,159.0,90.0,80.0,0.0,329.0,182.0,300.0,217.0,0.0,699.0,1028.0
Richmond,605,3880.0,240.0,333.0,232.0,0.0,805.0,316.0,629.0,510.0,3.0,1458.0,2263.0
Richmond,607,1812.0,22.0,44.0,36.0,0.0,102.0,188.0,530.0,400.0,1.0,1119.0,1221.0
Richmond,608,1472.0,246.0,242.0,120.0,0.0,608.0,87.0,177.0,136.0,1.0,401.0,1009.0
Richmond,701,2403.0,310.0,580.0,294.0,0.0,1184.0,111.0,246.0,265.0,2.0,624.0,1808.0
Richmond,702,1943.0,294.0,430.0,195.0,0.0,919.0,114.0,199.0,155.0,0.0,468.0,1387.0
Richmond,703,4644.0,383.0,629.0,295.0,0.0,1307.0,335.0,728.0,460.0,6.0,1529.0,2836.0
Richmond,705,2276.0,209.0,438.0,318.0,2.0,967.0,127.0,321.0,240.0,1.0,689.0,1656.0
Richmond,706,3315.0,258.0,882.0,381.0,0.0,1521.0,116.0,438.0,357.0,2.0,913.0,2434.0
Richmond,707,2122.0,162.0,250.0,108.0,1.0,521.0,209.0,408.0,211.0,2.0,830.0,1351.0
Richmond,708,305.0,22.0,113.0,34.0,1.0,170.0,7.0,37.0,18.0,0.0,62.0,232.0
Richmond,709,576.0,49.0,113.0,55.0,0.0,217.0,28.0,74.0,82.0,0.0,184.0,401.0
Richmond,801,523.0,153.0,42.0,39.0,1.0,235.0,39.0,30.0,46.0,0.0,115.0,350.0
Richmond,801B,523.0,193.0,29.0,29.0,0.0,251.0,35.0,19.0,57.0,0.0,111.0,362.0
Richmond,802,3251.0,690.0,416.0,231.0,2.0,1339.0,164.0,247.0,295.0,2.0,708.0,2047.0
Richmond,803,252.0,10.0,22.0,4.0,0.0,36.0,24.0,26.0,25.0,1.0,76.0,112.0
Richmond,804,2096.0,197.0,264.0,101.0,0.0,562.0,145.0,393.0,263.0,0.0,801.0,1363.0
Richmond,804H,2863.0,370.0,425.0,227.0,1.0,1023.0,175.0,390.0,317.0,4.0,886.0,1909.0
Richmond,805,798.0,62.0,81.0,32.0,0.0,175.0,69.0,189.0,110.0,1.0,369.0,544.0
Richmond,806,1212.0,209.0,208.0,93.0,0.0,510.0,72.0,129.0,105.0,1.0,307.0,817.0
Richmond,807,1578.0,79.0,108.0,55.0,0.0,242.0,134.0,306.0,241.0,1.0,682.0,924.0
Richmond,808,2366.0,304.0,383.0,183.0,0.0,870.0,159.0,363.0,281.0,1.0,804.0,1674.0
Richmond,809,879.0,8.0,22.0,21.0,0.0,51.0,80.0,309.0,185.0,2.0,576.0,627.0
Richmond,810,425.0,57.0,95.0,25.0,0.0,177.0,10.0,68.0,55.0,0.0,133.0,310.0
Columbia,Kiokee Baptist Church,2541.0,452.0,1139.0,197.0,0.0,1788.0,45.0,136.0,96.0,0.0,277.0,2065.0
Columbia,Lewis Methodist Church,3737.0,439.0,1121.0,295.0,1.0,1856.0,117.0,534.0,346.0,1.0,998.0,2854.0
Columbia,Woodlawn Baptist Church,1290.0,166.0,448.0,120.0,0.0,734.0,36.0,146.0,80.0,0.0,262.0,996.0
Columbia,Patriots Park,4046.0,367.0,1381.0,208.0,0.0,1956.0,126.0,639.0,315.0,0.0,1080.0,3036.0
Columbia,New Life Church,4438.0,352.0,972.0,196.0,1.0,1521.0,229.0,989.0,391.0,2.0,1611.0,3132.0
Columbia,Harlem Branch Library,2642.0,364.0,872.0,192.0,2.0,1430.0,76.0,233.0,117.0,0.0,426.0,1856.0
Columbia,Harlem Senior Center,1819.0,314.0,473.0,79.0,0.0,866.0,111.0,221.0,168.0,0.0,500.0,1366.0
