County,Precinct,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total Votes
Mitchell,Baconton,1129.0,212.0,271.0,84.0,0.0,567.0,567.0
Mitchell,Branchville,599.0,173.0,200.0,35.0,0.0,408.0,408.0
Mitchell,Camilla North,1996.0,159.0,401.0,209.0,0.0,769.0,769.0
Mitchell,Camilla South,3475.0,216.0,1185.0,420.0,3.0,1824.0,1824.0
Mitchell,Cotton,399.0,186.0,72.0,39.0,0.0,297.0,297.0
Mitchell,Hopeful,350.0,101.0,95.0,27.0,2.0,225.0,225.0
Mitchell,Hinsonton,134.0,78.0,20.0,7.0,0.0,105.0,105.0
Mitchell,Lester,1357.0,286.0,340.0,136.0,0.0,762.0,762.0
Mitchell,Pebble City,162.0,71.0,29.0,17.0,0.0,117.0,117.0
Mitchell,Pelham,3489.0,360.0,852.0,343.0,1.0,1556.0,1556.0
Mitchell,Sale City,384.0,145.0,57.0,35.0,0.0,237.0,237.0
Decatur,Mt Pleasant,564.0,132.0,221.0,46.0,0.0,399.0,399.0
Decatur,Recovery,678.0,174.0,157.0,102.0,2.0,435.0,435.0
Decatur,Kendrick,566.0,129.0,179.0,42.0,0.0,350.0,350.0
Decatur,Climax,975.0,213.0,352.0,74.0,2.0,641.0,641.0
Decatur,Brinson,836.0,159.0,287.0,64.0,0.0,510.0,510.0
Decatur,West Bainbridge,2238.0,178.0,739.0,171.0,1.0,1089.0,1089.0
Decatur,Bainbridge-Coliseum,5641.0,418.0,2134.0,569.0,3.0,3124.0,3124.0
Decatur,BDGE-Fairgrounds,3308.0,253.0,1058.0,257.0,1.0,1569.0,1569.0
Decatur,Attapulgus,1812.0,211.0,408.0,212.0,2.0,833.0,833.0
Baker,Anna,166.0,51.0,22.0,11.0,1.0,85.0,85.0
Baker,Elmodel,401.0,57.0,96.0,54.0,1.0,208.0,208.0
Baker,Hoggards Mill,351.0,59.0,65.0,34.0,0.0,158.0,158.0
Baker,Milford,270.0,65.0,56.0,30.0,0.0,151.0,151.0
Baker,Newton,1070.0,92.0,312.0,121.0,0.0,525.0,525.0
Grady,Blowing Cave,916.0,188.0,308.0,52.0,5.0,553.0,553.0
Grady,Cairo 4th District,2532.0,154.0,499.0,247.0,2.0,902.0,902.0
Grady,Cairo 5th District,2606.0,240.0,831.0,266.0,3.0,1340.0,1340.0
Grady,Duncanville,470.0,80.0,154.0,56.0,0.0,290.0,290.0
Grady,Higdon,854.0,207.0,179.0,106.0,0.0,492.0,492.0
Grady,Limesink,320.0,62.0,125.0,34.0,0.0,221.0,221.0
Grady,Midway,1412.0,211.0,474.0,162.0,2.0,849.0,849.0
Grady,Pine Park,1003.0,198.0,294.0,89.0,2.0,583.0,583.0
Grady,Ragan,475.0,105.0,128.0,67.0,0.0,300.0,300.0
Grady,Spence,758.0,219.0,197.0,74.0,0.0,490.0,490.0
Grady,Spring Hill,561.0,124.0,212.0,61.0,0.0,397.0,397.0
Grady,Whigham,1226.0,237.0,355.0,121.0,0.0,713.0,713.0
Grady,Woodland,2309.0,323.0,953.0,236.0,0.0,1512.0,1512.0
Calhoun,Leary,721.0,133.0,171.0,109.0,0.0,413.0,413.0
Calhoun,Morgan,662.0,99.0,225.0,92.0,0.0,416.0,416.0
Calhoun,Edison,523.0,65.0,87.0,44.0,0.0,196.0,196.0
Calhoun,Edison-Arlington,594.0,90.0,139.0,53.0,0.0,282.0,282.0
Calhoun,Arlington,684.0,88.0,135.0,78.0,0.0,301.0,301.0
