County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total Votes
Gwinnett,ROCKBRIDGE A,3987.0,96.0,266.0,150.0,0.0,512.0,261.0,1268.0,653.0,0.0,2182.0,2694.0
Gwinnett,BERKSHIRE B,5338.0,121.0,509.0,298.0,1.0,929.0,284.0,1368.0,885.0,4.0,2541.0,3470.0
Gwinnett,GARNERS A,3520.0,196.0,756.0,392.0,1.0,1345.0,142.0,734.0,489.0,1.0,1366.0,2711.0
Gwinnett,PINCKNEYVILLE B,3485.0,114.0,253.0,129.0,0.0,496.0,285.0,727.0,384.0,1.0,1397.0,1893.0
Gwinnett,CATES C,2903.0,166.0,307.0,173.0,1.0,647.0,183.0,768.0,426.0,1.0,1378.0,2025.0
Gwinnett,BERKSHIRE D,2945.0,144.0,488.0,294.0,1.0,927.0,115.0,602.0,516.0,2.0,1235.0,2162.0
Gwinnett,BERKSHIRE E,1997.0,156.0,440.0,186.0,0.0,782.0,84.0,361.0,303.0,1.0,749.0,1531.0
Gwinnett,CATES D,3755.0,191.0,509.0,244.0,0.0,944.0,156.0,683.0,493.0,0.0,1332.0,2276.0
Gwinnett,CATES E,2942.0,216.0,549.0,294.0,1.0,1060.0,145.0,603.0,495.0,0.0,1243.0,2303.0
Gwinnett,BAYCREEK B,5969.0,262.0,622.0,258.0,3.0,1145.0,423.0,1735.0,810.0,5.0,2973.0,4118.0
Gwinnett,ROCKBRIDGE B,4177.0,133.0,323.0,157.0,0.0,613.0,298.0,1137.0,602.0,1.0,2038.0,2651.0
Gwinnett,GARNERS B,3178.0,112.0,384.0,201.0,4.0,701.0,184.0,841.0,484.0,1.0,1510.0,2211.0
Gwinnett,GARNERS C,2030.0,126.0,280.0,129.0,0.0,535.0,129.0,453.0,269.0,2.0,853.0,1388.0
Gwinnett,PINCKNEYVILLE J,2613.0,72.0,128.0,59.0,0.0,259.0,262.0,616.0,277.0,2.0,1157.0,1416.0
Gwinnett,BERKSHIRE G,2419.0,152.0,489.0,226.0,0.0,867.0,122.0,551.0,312.0,0.0,985.0,1852.0
Gwinnett,CATES H,3924.0,116.0,380.0,177.0,0.0,673.0,303.0,942.0,498.0,2.0,1745.0,2418.0
Gwinnett,GARNERS D,3490.0,89.0,261.0,174.0,0.0,524.0,240.0,922.0,621.0,0.0,1783.0,2307.0
Gwinnett,BERKSHIRE H,1987.0,99.0,172.0,145.0,2.0,418.0,147.0,343.0,250.0,1.0,741.0,1159.0
Gwinnett,PINCKNEYVILLE O,3359.0,94.0,234.0,101.0,0.0,429.0,297.0,788.0,353.0,3.0,1441.0,1870.0
Gwinnett,CATES J,3478.0,230.0,426.0,271.0,1.0,928.0,194.0,809.0,552.0,2.0,1557.0,2485.0
Gwinnett,ROCKBRIDGE C,5125.0,130.0,308.0,167.0,0.0,605.0,289.0,1739.0,1011.0,5.0,3044.0,3649.0
Gwinnett,ROCKBRIDGE D,3642.0,71.0,374.0,194.0,1.0,640.0,201.0,1149.0,620.0,4.0,1974.0,2614.0
Gwinnett,CATES L,4185.0,220.0,596.0,313.0,0.0,1129.0,266.0,949.0,574.0,4.0,1793.0,2922.0
Gwinnett,ROCKBRIDGE E,4638.0,139.0,327.0,143.0,1.0,610.0,387.0,1152.0,744.0,2.0,2285.0,2895.0
Gwinnett,BERKSHIRE J,2731.0,160.0,569.0,271.0,0.0,1000.0,115.0,560.0,432.0,2.0,1109.0,2109.0
Gwinnett,ROCKBRIDGE F,5795.0,75.0,423.0,202.0,1.0,701.0,310.0,2137.0,873.0,5.0,3325.0,4026.0
Gwinnett,BAYCREEK E,3265.0,183.0,429.0,175.0,1.0,788.0,221.0,742.0,434.0,4.0,1401.0,2189.0
Gwinnett,BERKSHIRE N,3128.0,112.0,732.0,327.0,0.0,1171.0,88.0,637.0,516.0,0.0,1241.0,2412.0
Gwinnett,PINCKNEYVILLE V,1706.0,104.0,193.0,86.0,0.0,383.0,116.0,334.0,221.0,2.0,673.0,1056.0
Gwinnett,GARNERS F,1796.0,107.0,323.0,147.0,1.0,578.0,106.0,362.0,259.0,2.0,729.0,1307.0
Gwinnett,ROCKBRIDGE G,5799.0,131.0,377.0,192.0,2.0,702.0,388.0,1855.0,931.0,10.0,3184.0,3886.0
Gwinnett,PINCKNEYVILLE Y,3272.0,93.0,172.0,94.0,0.0,359.0,350.0,635.0,339.0,1.0,1325.0,1684.0
Gwinnett,BERKSHIRE Q,1802.0,155.0,296.0,142.0,1.0,594.0,107.0,296.0,249.0,1.0,653.0,1247.0
Gwinnett,BAYCREEK J,4567.0,189.0,498.0,218.0,0.0,905.0,312.0,1288.0,661.0,4.0,2265.0,3170.0
