County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total Votes
Jones,Gray,0.0,274.0,1263.0,293.0,0.0,1830.0,1830.0
Jones,Hawkins,0.0,365.0,809.0,340.0,0.0,1514.0,1514.0
Jones,Ethridge,0.0,221.0,634.0,185.0,0.0,1040.0,1040.0
Jones,Clinton,0.0,323.0,958.0,255.0,2.0,1538.0,1538.0
Jones,Roberts,0.0,514.0,715.0,262.0,1.0,1492.0,1492.0
Jones,Davidson,0.0,372.0,529.0,131.0,0.0,1032.0,1032.0
Jones,Pope,0.0,362.0,600.0,166.0,1.0,1129.0,1129.0
Jones,Barron,0.0,306.0,426.0,124.0,0.0,856.0,856.0
Jones,Sanders,0.0,95.0,15.0,15.0,0.0,125.0,125.0
Jones,Finney,0.0,620.0,828.0,276.0,1.0,1725.0,1725.0
Baldwin,South Milledgeville,1259.0,90.0,260.0,107.0,0.0,457.0,457.0
Baldwin,City Hall Annex,957.0,77.0,161.0,76.0,0.0,314.0,314.0
Baldwin,Boddie,1381.0,121.0,213.0,74.0,0.0,408.0,408.0
Baldwin,Courthouse,506.0,42.0,111.0,36.0,0.0,189.0,189.0
Baldwin,Fire Dept,1481.0,102.0,338.0,117.0,0.0,557.0,557.0
Baldwin,North Milledgeville,2211.0,218.0,767.0,234.0,1.0,1220.0,1220.0
Baldwin,Meriweather,2832.0,330.0,1160.0,309.0,0.0,1799.0,1799.0
Baldwin,East Baldwin,3826.0,387.0,1416.0,374.0,0.0,2177.0,2177.0
Baldwin,Scottsboro,1101.0,164.0,297.0,85.0,1.0,547.0,547.0
Baldwin,North Baldwin,3515.0,362.0,1572.0,366.0,0.0,2300.0,2300.0
Baldwin,West Baldwin,1862.0,233.0,595.0,172.0,0.0,1000.0,1000.0
Baldwin,East Hardwick,1313.0,112.0,157.0,91.0,0.0,360.0,360.0
Baldwin,West Hardwick,2903.0,221.0,541.0,221.0,0.0,983.0,983.0
Baldwin,Coopers,1574.0,305.0,489.0,109.0,0.0,903.0,903.0
Wilkinson,Bloodworth,434.0,184.0,109.0,25.0,0.0,318.0,318.0
Wilkinson,Griffin,184.0,82.0,34.0,17.0,0.0,133.0,133.0
Wilkinson,High Hill,173.0,77.0,34.0,11.0,0.0,122.0,122.0
Wilkinson,Irwinton,875.0,101.0,268.0,60.0,1.0,430.0,430.0
Wilkinson,Ivey,960.0,309.0,212.0,47.0,2.0,570.0,570.0
Wilkinson,Lord,735.0,169.0,176.0,40.0,0.0,385.0,385.0
Wilkinson,Midway,938.0,90.0,182.0,67.0,3.0,342.0,342.0
Wilkinson,Ramah,1709.0,330.0,386.0,136.0,0.0,852.0,852.0
Wilkinson,Turkey Creek,462.0,159.0,86.0,27.0,0.0,272.0,272.0
Putnam,101,3264.0,245.0,1046.0,383.0,0.0,1674.0,1674.0
Putnam,104,3380.0,231.0,1053.0,430.0,0.0,1714.0,1714.0
Putnam,105,3734.0,447.0,1569.0,717.0,0.0,2733.0,2733.0
Putnam,106,1332.0,311.0,441.0,175.0,0.0,927.0,927.0
Putnam,107,4293.0,587.0,1593.0,710.0,0.0,2890.0,2890.0
Greene,Greensboro,3999.0,273.0,1344.0,412.0,2.0,2031.0,2031.0
Greene,Union Point,1873.0,225.0,514.0,205.0,0.0,944.0,944.0
Greene,Siloam,991.0,123.0,289.0,98.0,0.0,510.0,510.0
Greene,White Plains,347.0,46.0,119.0,34.0,0.0,199.0,199.0
Greene,Old Salem,6961.0,524.0,3714.0,1200.0,3.0,5441.0,5441.0
Hancock,Devereux Fire Station,1006.0,128.0,290.0,130.0,0.0,548.0,548.0
Hancock,St Mark,576.0,62.0,104.0,33.0,0.0,199.0,199.0
Hancock,Courthouse,931.0,73.0,186.0,79.0,1.0,339.0,339.0
Hancock,Second Beulah,472.0,42.0,71.0,58.0,0.0,171.0,171.0
Hancock,Mayfield Community Center,356.0,40.0,37.0,41.0,0.0,118.0,118.0
Hancock,Power of God,731.0,66.0,116.0,71.0,1.0,254.0,254.0
Hancock,Warren Chapel,268.0,29.0,80.0,49.0,0.0,158.0,158.0
Hancock,Youth Center,975.0,74.0,159.0,100.0,0.0,333.0,333.0
Hancock,Second Darrien,364.0,62.0,50.0,54.0,0.0,166.0,166.0
Hancock,Sparta 4C,148.0,23.0,18.0,33.0,0.0,74.0,74.0
Morgan,Northeast Morgan,2919.0,198.0,1041.0,291.0,0.0,1530.0,1530.0
Morgan,East Morgan,2228.0,457.0,978.0,187.0,2.0,1624.0,1624.0
Morgan,Beth/Springfield,862.0,162.0,356.0,88.0,0.0,606.0,606.0
Morgan,Central Morgan,2761.0,263.0,1303.0,296.0,0.0,1862.0,1862.0
Morgan,Clacks Chapel,709.0,142.0,349.0,58.0,0.0,549.0,549.0
Morgan,West Morgan,2655.0,450.0,1241.0,205.0,0.0,1896.0,1896.0
Morgan,North Morgan,2690.0,504.0,1044.0,262.0,2.0,1812.0,1812.0
Jasper,Wyatt,1940.0,491.0,532.0,183.0,1.0,1207.0,1207.0
Jasper,Monticello,4516.0,349.0,1815.0,532.0,10.0,2706.0,2706.0
Jasper,Martin-Burney,3976.0,844.0,1496.0,393.0,1.0,2734.0,2734.0
