County,Precinct,Registered Voters,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_Choice Total,Total Votes
Whitfield,1A,2533.0,266.0,456.0,235.0,3.0,960.0,960.0
Whitfield,2A,3090.0,412.0,1037.0,315.0,5.0,1769.0,1769.0
Whitfield,3A,2221.0,293.0,714.0,273.0,0.0,1280.0,1280.0
Whitfield,4A,2586.0,347.0,895.0,298.0,0.0,1540.0,1540.0
Whitfield,5A,2238.0,254.0,320.0,127.0,3.0,704.0,704.0
Whitfield,6A,1690.0,205.0,232.0,81.0,0.0,518.0,518.0
Whitfield,AN,2474.0,328.0,503.0,163.0,5.0,999.0,999.0
Whitfield,CA,1953.0,511.0,432.0,130.0,2.0,1075.0,1075.0
Whitfield,CO,1431.0,458.0,332.0,108.0,7.0,905.0,905.0
Whitfield,DG,3295.0,626.0,932.0,334.0,4.0,1896.0,1896.0
Whitfield,ES,1702.0,290.0,358.0,125.0,0.0,773.0,773.0
Whitfield,FI,2146.0,443.0,552.0,137.0,2.0,1134.0,1134.0
Whitfield,GL,2510.0,451.0,610.0,200.0,1.0,1262.0,1262.0
Whitfield,LT,1148.0,282.0,416.0,76.0,1.0,775.0,775.0
Whitfield,MC,1659.0,484.0,499.0,113.0,1.0,1097.0,1097.0
Whitfield,NI,2456.0,638.0,680.0,208.0,2.0,1528.0,1528.0
Whitfield,PG,4721.0,715.0,1554.0,479.0,4.0,2752.0,2752.0
Whitfield,TH,3836.0,742.0,1194.0,326.0,2.0,2264.0,2264.0
Whitfield,TI,775.0,269.0,135.0,39.0,1.0,444.0,444.0
Whitfield,TR,1335.0,348.0,449.0,133.0,0.0,930.0,930.0
Whitfield,UT,1053.0,369.0,252.0,82.0,0.0,703.0,703.0
Whitfield,VA,5250.0,1014.0,1744.0,477.0,2.0,3237.0,3237.0
Whitfield,WS,2647.0,529.0,871.0,282.0,3.0,1685.0,1685.0
Murray,McDonald,2524.0,344.0,970.0,166.0,0.0,1480.0,1480.0
Murray,Shuck Pen,2940.0,661.0,950.0,167.0,0.0,1778.0,1778.0
Murray,Southwest,3215.0,690.0,839.0,220.0,0.0,1749.0,1749.0
Murray,Spring Place,3671.0,551.0,1395.0,247.0,0.0,2193.0,2193.0
Murray,Town,5766.0,708.0,2396.0,474.0,0.0,3578.0,3578.0
Murray,Carters-Doolittle,2045.0,448.0,601.0,132.0,0.0,1181.0,1181.0
Murray,North,2123.0,549.0,679.0,147.0,0.0,1375.0,1375.0
