County,Precinct,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total Votes
Barrow,01 Bethlehem Community Center 3359,3359.0,551.0,1137.0,318.0,0.0,2006.0,2006.0
Barrow,02 Bethlehem Church - 211,6784.0,834.0,2745.0,834.0,0.0,4413.0,4413.0
Barrow,03 Hmong New Hope Alliance Church 6364,6364.0,999.0,1912.0,650.0,1.0,3562.0,3562.0
Barrow,04 Covenant Life Sanctuary,4012.0,514.0,1310.0,390.0,0.0,2214.0,2214.0
Barrow,05 Fire Station 1 (Statham),8336.0,1100.0,3068.0,887.0,0.0,5055.0,5055.0
Barrow,08 First Baptist Church Winder7009,7009.0,833.0,2787.0,714.0,0.0,4334.0,4334.0
Barrow,13 Winder Community Center,9393.0,904.0,2937.0,880.0,0.0,4721.0,4721.0
Barrow,16 The Church at Winder,10348.0,1219.0,3429.0,984.0,3.0,5635.0,5635.0
Banks,Anderson,1533.0,222.0,591.0,120.0,1.0,934.0,934.0
Banks,Baldwin,876.0,94.0,337.0,133.0,0.0,564.0,564.0
Banks,Berlin,415.0,45.0,192.0,27.0,1.0,265.0,265.0
Banks,Bushville,816.0,121.0,305.0,53.0,1.0,480.0,480.0
Banks,Columbia,363.0,65.0,167.0,33.0,0.0,265.0,265.0
Banks,Davids,1977.0,261.0,762.0,146.0,4.0,1173.0,1173.0
Banks,Golden Hill,1008.0,135.0,342.0,77.0,0.0,554.0,554.0
Banks,Grove River,600.0,97.0,238.0,70.0,0.0,405.0,405.0
Banks,Hollingsworth,667.0,89.0,291.0,60.0,1.0,441.0,441.0
Banks,Homer,1544.0,183.0,668.0,124.0,1.0,976.0,976.0
Banks,Poplar Springs,1775.0,229.0,736.0,161.0,1.0,1127.0,1127.0
Banks,Washington,704.0,87.0,303.0,56.0,1.0,447.0,447.0
Banks,Wilmonts,620.0,78.0,264.0,55.0,0.0,397.0,397.0
Jackson,Central Jackson,16263.0,1640.0,7196.0,1565.0,2.0,10403.0,10403.0
Jackson,North Jackson,12699.0,1416.0,4919.0,1424.0,1.0,7760.0,7760.0
Jackson,West Jackson,14977.0,1623.0,7002.0,1731.0,2.0,10358.0,10358.0
Jackson,South Jackson,8012.0,958.0,2928.0,903.0,1.0,4790.0,4790.0
