County,Precinct,Registered Voters,Tripp Fitzner (Rep)_Election Day Votes,Tripp Fitzner (Rep)_Advanced Voting Votes,Tripp Fitzner (Rep)_Absentee by Mail Votes,Tripp Fitzner (Rep)_Provisional Votes,Tripp Fitzner (Rep)_Choice Total,Total Votes
Washington,Riddleville,561.0,135.0,108.0,47.0,1.0,291.0,291.0
Washington,Warthen,742.0,189.0,124.0,95.0,0.0,408.0,408.0
Washington,Tennille,2512.0,294.0,581.0,189.0,1.0,1065.0,1065.0
Washington,Oconee,581.0,124.0,90.0,44.0,0.0,258.0,258.0
Washington,Harrison,1005.0,238.0,226.0,80.0,2.0,546.0,546.0
Washington,Davisboro,814.0,182.0,165.0,84.0,0.0,431.0,431.0
Washington,Sandersville,6221.0,510.0,1631.0,732.0,0.0,2873.0,2873.0
Washington,Deepstep,554.0,183.0,91.0,47.0,1.0,322.0,322.0
Jefferson,Stapleton Crossroads,441.0,86.0,113.0,36.0,2.0,237.0,237.0
Jefferson,Matthews,621.0,187.0,110.0,58.0,1.0,356.0,356.0
Jefferson,Wrens,2870.0,390.0,601.0,195.0,1.0,1187.0,1187.0
Jefferson,Louisville,3899.0,233.0,1028.0,267.0,3.0,1531.0,1531.0
Jefferson,Wadley,1906.0,176.0,319.0,97.0,0.0,592.0,592.0
Jefferson,Bartow,531.0,87.0,100.0,28.0,0.0,215.0,215.0
Jefferson,Stapleton,678.0,173.0,99.0,40.0,0.0,312.0,312.0
Jefferson,Avera,388.0,133.0,57.0,28.0,1.0,219.0,219.0
Emanuel,Oak Park,686.0,255.0,146.0,45.0,0.0,446.0,446.0
Emanuel,Cross-Green,241.0,50.0,40.0,19.0,0.0,109.0,109.0
Emanuel,Swainsboro,6988.0,830.0,1985.0,680.0,1.0,3496.0,3496.0
Emanuel,Summertown,504.0,153.0,113.0,40.0,0.0,306.0,306.0
Emanuel,Stillmore,608.0,163.0,107.0,33.0,0.0,303.0,303.0
Emanuel,Blundale,756.0,225.0,248.0,68.0,0.0,541.0,541.0
Emanuel,Canoochee,681.0,248.0,148.0,42.0,0.0,438.0,438.0
Emanuel,Garfield,489.0,211.0,83.0,32.0,0.0,326.0,326.0
Emanuel,Nunez,384.0,128.0,87.0,23.0,0.0,238.0,238.0
Emanuel,Twin City,1551.0,349.0,416.0,125.0,0.0,890.0,890.0
Emanuel,Adrian,827.0,243.0,165.0,86.0,0.0,494.0,494.0
Candler,Jack Strickland Comm Center,6300.0,1844.0,1312.0,546.0,0.0,3702.0,3702.0
Toombs,15361 Lyons,0.0,384.0,1185.0,329.0,0.0,1898.0,1898.0
Toombs,39 Newbranch,0.0,324.0,493.0,122.0,0.0,939.0,939.0
Toombs,43 Cedar Crossing,0.0,349.0,430.0,108.0,0.0,887.0,887.0
Toombs,513 VPD,0.0,614.0,1977.0,640.0,3.0,3234.0,3234.0
Toombs,514 STIALC,0.0,420.0,1213.0,389.0,3.0,2025.0,2025.0
