County,Precinct,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total Votes
Lincoln,Midway,587.0,95.0,131.0,83.0,0.0,309.0,309.0
Lincoln,Lincoln Club House,799.0,95.0,184.0,146.0,2.0,427.0,427.0
Lincoln,Lincoln Center,1489.0,163.0,464.0,146.0,0.0,773.0,773.0
Lincoln,Faith Temple of Lincoln,489.0,71.0,122.0,66.0,0.0,259.0,259.0
Lincoln,Tabernacle,1003.0,140.0,236.0,150.0,0.0,526.0,526.0
Lincoln,Bethany Church,575.0,81.0,145.0,54.0,0.0,280.0,280.0
Lincoln,Martins Crossroad,1234.0,179.0,325.0,121.0,1.0,626.0,626.0
Wilkes,Senior Citizen Center,1552.0,173.0,474.0,245.0,5.0,897.0,897.0
Wilkes,Young Farmers Bldg,1173.0,124.0,431.0,163.0,1.0,719.0,719.0
Wilkes,Metasville Fire Sta,610.0,103.0,152.0,95.0,0.0,350.0,350.0
Wilkes,Edward B Pope Center,1017.0,159.0,283.0,133.0,0.0,575.0,575.0
Wilkes,Rayle City Hall,570.0,129.0,119.0,77.0,1.0,326.0,326.0
Wilkes,Courthouse,1001.0,102.0,364.0,146.0,0.0,612.0,612.0
Wilkes,Tignal Sch Lunch Rm,896.0,198.0,219.0,154.0,0.0,571.0,571.0
Taliaferro,Sharon,253.0,53.0,47.0,39.0,0.0,139.0,139.0
Taliaferro,Crawfordville,992.0,98.0,251.0,184.0,0.0,533.0,533.0
Glascock,Edgehill,136.0,25.0,27.0,3.0,0.0,55.0,55.0
Glascock,Gibson,677.0,75.0,138.0,33.0,0.0,246.0,246.0
Glascock,Mill,778.0,95.0,183.0,41.0,0.0,319.0,319.0
Glascock,Mitchell,448.0,79.0,72.0,39.0,0.0,190.0,190.0
McDuffie,131,1172.0,98.0,344.0,225.0,0.0,667.0,667.0
McDuffie,132,1507.0,92.0,620.0,152.0,0.0,864.0,864.0
McDuffie,133A,1278.0,114.0,397.0,140.0,0.0,651.0,651.0
McDuffie,133B,1959.0,186.0,732.0,189.0,0.0,1107.0,1107.0
McDuffie,134,1908.0,154.0,625.0,376.0,0.0,1155.0,1155.0
McDuffie,135,3089.0,213.0,1184.0,378.0,0.0,1775.0,1775.0
McDuffie,136,1940.0,179.0,458.0,328.0,0.0,965.0,965.0
McDuffie,137,1202.0,74.0,508.0,138.0,0.0,720.0,720.0
McDuffie,139,978.0,83.0,358.0,142.0,0.0,583.0,583.0
Warren,Warrenton,3785.0,403.0,1109.0,654.0,0.0,2166.0,2166.0
