County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total Votes
Newton,City Pond,1833.0,162.0,141.0,87.0,0.0,390.0,195.0,183.0,259.0,0.0,637.0,1027.0
Newton,Town,4378.0,196.0,208.0,159.0,0.0,563.0,528.0,627.0,791.0,1.0,1947.0,2510.0
Newton,Almon,5009.0,257.0,271.0,175.0,0.0,703.0,531.0,1232.0,927.0,3.0,2693.0,3396.0
Newton,Alcovy,4620.0,481.0,552.0,332.0,1.0,1366.0,314.0,741.0,555.0,2.0,1612.0,2978.0
Newton,Covington Mills,3111.0,343.0,334.0,219.0,1.0,897.0,290.0,427.0,389.0,0.0,1106.0,2003.0
Newton,Cedar Shoals,2838.0,343.0,218.0,139.0,0.0,700.0,292.0,361.0,344.0,1.0,998.0,1698.0
Newton,Livingston,4593.0,314.0,315.0,157.0,3.0,789.0,442.0,917.0,738.0,4.0,2101.0,2890.0
Newton,Downs,6215.0,740.0,839.0,314.0,1.0,1894.0,505.0,1064.0,832.0,0.0,2401.0,4295.0
Newton,Gum Creek,4135.0,901.0,770.0,506.0,1.0,2178.0,175.0,418.0,365.0,0.0,958.0,3136.0
Newton,Beaverdam,5428.0,212.0,282.0,161.0,0.0,655.0,597.0,1366.0,904.0,2.0,2869.0,3524.0
Newton,Oxford,2418.0,522.0,371.0,256.0,0.0,1149.0,169.0,166.0,267.0,1.0,603.0,1752.0
Newton,Rocky Plains,3658.0,85.0,46.0,21.0,1.0,153.0,55.0,72.0,59.0,0.0,186.0,339.0
Newton,Buck Creek,4839.0,489.0,552.0,278.0,1.0,1320.0,445.0,709.0,710.0,1.0,1865.0,3185.0
Newton,Stansells,4969.0,222.0,293.0,203.0,0.0,718.0,513.0,1131.0,786.0,0.0,2430.0,3148.0
Newton,Fairview,2953.0,63.0,91.0,62.0,1.0,217.0,392.0,657.0,501.0,2.0,1552.0,1769.0
Newton,Crowell,4977.0,110.0,152.0,98.0,0.0,360.0,558.0,1303.0,860.0,2.0,2723.0,3083.0
Rockdale,BA,4803.0,220.0,740.0,268.0,0.0,1228.0,253.0,1304.0,650.0,1.0,2208.0,3436.0
Rockdale,BT,4007.0,430.0,789.0,304.0,3.0,1526.0,187.0,558.0,388.0,1.0,1134.0,2660.0
Rockdale,CO,3862.0,102.0,229.0,104.0,3.0,438.0,288.0,960.0,450.0,1.0,1699.0,2137.0
Rockdale,FI,6328.0,72.0,351.0,159.0,0.0,582.0,373.0,2160.0,1117.0,0.0,3650.0,4232.0
Rockdale,FS,4038.0,78.0,299.0,157.0,0.0,534.0,220.0,1279.0,666.0,0.0,2165.0,2699.0
Rockdale,HC,2411.0,141.0,437.0,160.0,0.0,738.0,123.0,548.0,300.0,0.0,971.0,1709.0
Rockdale,HI,3515.0,129.0,490.0,168.0,0.0,787.0,166.0,969.0,485.0,0.0,1620.0,2407.0
Rockdale,LA,2001.0,80.0,170.0,94.0,0.0,344.0,120.0,395.0,345.0,0.0,860.0,1204.0
Rockdale,LO,3943.0,336.0,580.0,228.0,1.0,1145.0,221.0,994.0,588.0,0.0,1803.0,2948.0
