County,Precinct,Registered Voters,Jonathan L. Adams (I) (Rep)_Election Day Votes,Jonathan L. Adams (I) (Rep)_Advanced Voting Votes,Jonathan L. Adams (I) (Rep)_Absentee by Mail Votes,Jonathan L. Adams (I) (Rep)_Provisional Votes,Jonathan L. Adams (I) (Rep)_Choice Total,Total Votes
Monroe,Bentons,2297.0,357.0,1022.0,234.0,1.0,1614.0,1614.0
Monroe,Brantleys,1123.0,233.0,555.0,67.0,0.0,855.0,855.0
Monroe,Burgays,2268.0,451.0,998.0,220.0,4.0,1673.0,1673.0
Monroe,Cabaniss,800.0,205.0,226.0,44.0,1.0,476.0,476.0
Monroe,Cox,718.0,159.0,295.0,44.0,0.0,498.0,498.0
Monroe,Culloden,454.0,136.0,90.0,44.0,0.0,270.0,270.0
Monroe,Dillards,996.0,161.0,405.0,54.0,0.0,620.0,620.0
Monroe,Evers,2127.0,304.0,969.0,166.0,0.0,1439.0,1439.0
Monroe,Forsyth,4640.0,312.0,1468.0,404.0,0.0,2184.0,2184.0
Monroe,High Falls,1994.0,361.0,645.0,138.0,1.0,1145.0,1145.0
Monroe,Kelseys,722.0,141.0,205.0,64.0,0.0,410.0,410.0
Monroe,Middlebrooks,1319.0,221.0,582.0,87.0,0.0,890.0,890.0
Monroe,Proctors,1214.0,256.0,355.0,75.0,0.0,686.0,686.0
Monroe,Russellville,466.0,146.0,134.0,22.0,0.0,302.0,302.0
Lamar,Barnesville,2546.0,222.0,521.0,274.0,0.0,1017.0,1017.0
Lamar,Chappell Mill V FD,1577.0,329.0,616.0,151.0,1.0,1097.0,1097.0
Lamar,Senior Citizen Bldg,1337.0,166.0,432.0,140.0,1.0,739.0,739.0
Lamar,Redbone,623.0,197.0,166.0,58.0,0.0,421.0,421.0
Lamar,L C S C,2808.0,365.0,1134.0,286.0,4.0,1789.0,1789.0
Lamar,Milner,3948.0,742.0,1487.0,358.0,1.0,2588.0,2588.0
Butts,Butts County Admin Bldg,17154.0,1029.0,7299.0,1520.0,3.0,9851.0,9851.0
