County,Precinct,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total Votes
Cobb,Acworth 1A,5458.0,213.0,807.0,840.0,2.0,1862.0,274.0,1124.0,660.0,1.0,2059.0,3921.0
Cobb,Acworth 1B,5214.0,267.0,696.0,595.0,3.0,1561.0,420.0,993.0,603.0,2.0,2018.0,3579.0
Cobb,Acworth 1C,5110.0,284.0,1044.0,752.0,10.0,2090.0,216.0,745.0,355.0,0.0,1316.0,3406.0
Cobb,Addison 01,2444.0,132.0,307.0,462.0,1.0,902.0,236.0,392.0,386.0,0.0,1014.0,1916.0
Cobb,Austell 1A,5329.0,364.0,1229.0,896.0,9.0,2498.0,172.0,328.0,251.0,3.0,754.0,3252.0
Cobb,Bells Ferry 02,3127.0,164.0,392.0,459.0,1.0,1016.0,315.0,533.0,371.0,1.0,1220.0,2236.0
Cobb,Bells Ferry 03,2436.0,194.0,297.0,325.0,1.0,817.0,275.0,337.0,210.0,2.0,824.0,1641.0
Cobb,Bells Ferry 04,3646.0,201.0,451.0,452.0,3.0,1107.0,464.0,639.0,430.0,2.0,1535.0,2642.0
Cobb,Big Shanty 01,2385.0,140.0,284.0,252.0,1.0,677.0,226.0,378.0,290.0,5.0,899.0,1576.0
Cobb,Big Shanty 02,3236.0,185.0,432.0,485.0,1.0,1103.0,305.0,604.0,417.0,3.0,1329.0,2432.0
Cobb,Baker 01,4773.0,300.0,938.0,601.0,6.0,1845.0,355.0,740.0,350.0,3.0,1448.0,3293.0
Cobb,Birney 01,2727.0,214.0,451.0,396.0,5.0,1066.0,139.0,259.0,298.0,6.0,702.0,1768.0
Cobb,Birney 02,3894.0,183.0,816.0,756.0,4.0,1759.0,200.0,463.0,444.0,0.0,1107.0,2866.0
Cobb,Bryant 01,2142.0,178.0,663.0,449.0,2.0,1292.0,36.0,86.0,48.0,1.0,171.0,1463.0
Cobb,Bryant 02,6209.0,512.0,1389.0,736.0,6.0,2643.0,82.0,200.0,115.0,1.0,398.0,3041.0
Cobb,Blackwell 01,2698.0,173.0,341.0,478.0,0.0,992.0,227.0,469.0,315.0,3.0,1014.0,2006.0
Cobb,Chattahoochee 01,5969.0,399.0,1339.0,889.0,3.0,2630.0,289.0,574.0,323.0,4.0,1190.0,3820.0
Cobb,Cheatham Hill 02,3085.0,117.0,375.0,413.0,0.0,905.0,317.0,724.0,517.0,1.0,1559.0,2464.0
Cobb,Cheatham Hill 03,4029.0,133.0,676.0,619.0,0.0,1428.0,335.0,871.0,611.0,1.0,1818.0,3246.0
Cobb,Chalker 01,6065.0,475.0,1099.0,723.0,2.0,2299.0,339.0,670.0,483.0,1.0,1493.0,3792.0
Cobb,Clarkdale 01,1937.0,117.0,323.0,281.0,2.0,723.0,122.0,212.0,176.0,1.0,511.0,1234.0
Cobb,Clarkdale 02,5372.0,430.0,1206.0,795.0,5.0,2436.0,281.0,533.0,340.0,0.0,1154.0,3590.0
Cobb,Cooper 01,5252.0,393.0,1183.0,866.0,4.0,2446.0,150.0,378.0,291.0,0.0,819.0,3265.0
Cobb,Chestnut Ridge 01,3162.0,118.0,338.0,535.0,0.0,991.0,331.0,637.0,667.0,0.0,1635.0,2626.0
Cobb,Dickerson 01,2828.0,81.0,328.0,550.0,1.0,960.0,272.0,579.0,518.0,3.0,1372.0,2332.0
Cobb,Dobbins 01,3024.0,246.0,399.0,331.0,7.0,983.0,110.0,155.0,125.0,6.0,396.0,1379.0
Cobb,Dobbins 02,3984.0,356.0,818.0,481.0,4.0,1659.0,202.0,342.0,185.0,3.0,732.0,2391.0
Cobb,Dowell 01,3197.0,162.0,538.0,510.0,4.0,1214.0,262.0,593.0,398.0,0.0,1253.0,2467.0
Cobb,Dodgen 01,2100.0,86.0,242.0,353.0,1.0,682.0,261.0,395.0,394.0,2.0,1052.0,1734.0
Cobb,Durham 01,4256.0,91.0,467.0,441.0,1.0,1000.0,402.0,1404.0,643.0,1.0,2450.0,3450.0
Cobb,Davis 01,2093.0,132.0,265.0,327.0,0.0,724.0,326.0,360.0,258.0,0.0,944.0,1668.0
Cobb,Eastside 01,3040.0,87.0,317.0,548.0,1.0,953.0,349.0,574.0,614.0,3.0,1540.0,2493.0
Cobb,Eastside 02,4074.0,121.0,438.0,728.0,1.0,1288.0,331.0,761.0,916.0,2.0,2010.0,3298.0
Cobb,Elizabeth 01,4065.0,307.0,771.0,520.0,3.0,1601.0,245.0,373.0,209.0,2.0,829.0,2430.0
Cobb,Elizabeth 02,2434.0,122.0,300.0,347.0,2.0,771.0,255.0,394.0,429.0,2.0,1080.0,1851.0
Cobb,Elizabeth 03,2767.0,113.0,346.0,405.0,0.0,864.0,319.0,471.0,562.0,2.0,1354.0,2218.0
Cobb,Elizabeth 04,3011.0,258.0,443.0,465.0,0.0,1166.0,269.0,298.0,285.0,1.0,853.0,2019.0
Cobb,Elizabeth 05,2884.0,136.0,337.0,494.0,1.0,968.0,351.0,489.0,426.0,0.0,1266.0,2234.0
Cobb,East Piedmont 01,2627.0,201.0,402.0,400.0,0.0,1003.0,259.0,321.0,258.0,1.0,839.0,1842.0
Cobb,Fair Oaks 02,5779.0,477.0,1007.0,900.0,3.0,2387.0,263.0,456.0,345.0,5.0,1069.0,3456.0
Cobb,Fair Oaks 04,5322.0,522.0,625.0,588.0,8.0,1743.0,267.0,316.0,307.0,1.0,891.0,2634.0
Cobb,Fullers Park 01,3452.0,140.0,385.0,609.0,0.0,1134.0,355.0,661.0,625.0,0.0,1641.0,2775.0
Cobb,Ford 01,3161.0,77.0,328.0,316.0,0.0,721.0,323.0,999.0,473.0,1.0,1796.0,2517.0
Cobb,Frey 01,2582.0,66.0,319.0,272.0,1.0,658.0,177.0,826.0,337.0,0.0,1340.0,1998.0
Cobb,Garrison Mill 01,2872.0,132.0,368.0,444.0,0.0,944.0,338.0,584.0,429.0,1.0,1352.0,2296.0
Cobb,Gritters 01,4033.0,246.0,457.0,563.0,1.0,1267.0,442.0,695.0,547.0,1.0,1685.0,2952.0
Cobb,Harmony-Leland 01,6394.0,329.0,1837.0,1351.0,5.0,3522.0,149.0,467.0,331.0,0.0,947.0,4469.0
