County,Precinct,Registered Voters,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_Choice Total,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_Choice Total,Total Votes
Gwinnett,SUWANEE A,1737.0,122.0,295.0,151.0,1.0,569.0,93.0,376.0,190.0,0.0,659.0,1228.0
Gwinnett,BAYCREEK A,2720.0,253.0,554.0,310.0,0.0,1117.0,128.0,495.0,370.0,0.0,993.0,2110.0
Gwinnett,GOODWINS A,3921.0,294.0,568.0,245.0,2.0,1109.0,257.0,777.0,540.0,0.0,1574.0,2683.0
Gwinnett,DULUTH A,5042.0,241.0,894.0,448.0,1.0,1584.0,217.0,1030.0,931.0,1.0,2179.0,3763.0
Gwinnett,PUCKETTS A,5692.0,317.0,1981.0,662.0,1.0,2961.0,151.0,815.0,484.0,0.0,1450.0,4411.0
Gwinnett,CATES A,2387.0,171.0,475.0,307.0,0.0,953.0,113.0,347.0,287.0,1.0,748.0,1701.0
Gwinnett,BERKSHIRE A,2555.0,172.0,227.0,121.0,0.0,520.0,254.0,425.0,325.0,1.0,1005.0,1525.0
Gwinnett,LAWRENCEVILLE A,3635.0,166.0,497.0,281.0,0.0,944.0,237.0,613.0,398.0,3.0,1251.0,2195.0
Gwinnett,LAWRENCEVILLE B,5097.0,144.0,633.0,286.0,0.0,1063.0,205.0,1459.0,716.0,3.0,2383.0,3446.0
Gwinnett,MARTINS A,3303.0,136.0,216.0,122.0,2.0,476.0,313.0,762.0,408.0,4.0,1487.0,1963.0
Gwinnett,MARTINS B,3001.0,116.0,346.0,185.0,0.0,647.0,274.0,629.0,358.0,2.0,1263.0,1910.0
Gwinnett,MARTINS C,2549.0,168.0,320.0,192.0,0.0,680.0,226.0,502.0,348.0,4.0,1080.0,1760.0
Gwinnett,PINCKNEYVILLE A,2791.0,114.0,144.0,88.0,3.0,349.0,331.0,603.0,337.0,5.0,1276.0,1625.0
Gwinnett,PINCKNEYVILLE C,2082.0,261.0,280.0,265.0,1.0,807.0,113.0,338.0,364.0,4.0,819.0,1626.0
Gwinnett,PINCKNEYVILLE D,2264.0,80.0,136.0,75.0,1.0,292.0,256.0,435.0,220.0,3.0,914.0,1206.0
Gwinnett,SUGAR HILL A,4654.0,412.0,860.0,339.0,3.0,1614.0,239.0,649.0,467.0,1.0,1356.0,2970.0
Gwinnett,SUGAR HILL B,5596.0,514.0,1189.0,425.0,13.0,2141.0,279.0,923.0,581.0,4.0,1787.0,3928.0
Gwinnett,HOG MOUNTAIN A,5011.0,311.0,736.0,320.0,1.0,1368.0,325.0,1075.0,639.0,1.0,2040.0,3408.0
Gwinnett,HOG MOUNTAIN B,4583.0,385.0,1046.0,430.0,1.0,1862.0,183.0,773.0,645.0,1.0,1602.0,3464.0
Gwinnett,CATES B,1587.0,148.0,334.0,181.0,1.0,664.0,81.0,229.0,191.0,1.0,502.0,1166.0
Gwinnett,HOG MOUNTAIN D,3179.0,283.0,690.0,259.0,1.0,1233.0,144.0,478.0,388.0,1.0,1011.0,2244.0
Gwinnett,BERKSHIRE F,2254.0,174.0,215.0,175.0,0.0,564.0,182.0,369.0,294.0,1.0,846.0,1410.0
Gwinnett,CATES D,3755.0,33.0,91.0,67.0,0.0,191.0,32.0,159.0,100.0,1.0,292.0,483.0
Gwinnett,PINCKNEYVILLE E,2184.0,111.0,111.0,69.0,2.0,293.0,231.0,485.0,268.0,4.0,988.0,1281.0
Gwinnett,PINCKNEYVILLE F,2546.0,119.0,229.0,114.0,1.0,463.0,231.0,470.0,329.0,2.0,1032.0,1495.0
Gwinnett,PINCKNEYVILLE H,4536.0,346.0,735.0,455.0,0.0,1536.0,226.0,881.0,795.0,3.0,1905.0,3441.0
Gwinnett,LAWRENCEVILLE C,3037.0,289.0,626.0,276.0,0.0,1191.0,137.0,477.0,337.0,1.0,952.0,2143.0
Gwinnett,MARTINS D,2402.0,92.0,125.0,92.0,2.0,311.0,266.0,451.0,296.0,1.0,1014.0,1325.0
Gwinnett,CATES F,1787.0,212.0,319.0,224.0,0.0,755.0,103.0,296.0,233.0,1.0,633.0,1388.0
Gwinnett,CATES G,2875.0,206.0,690.0,379.0,0.0,1275.0,115.0,521.0,423.0,0.0,1059.0,2334.0
Gwinnett,DULUTH B,3551.0,263.0,552.0,365.0,3.0,1183.0,185.0,511.0,554.0,1.0,1251.0,2434.0
Gwinnett,PINCKNEYVILLE I,2635.0,108.0,206.0,126.0,0.0,440.0,251.0,554.0,316.0,2.0,1123.0,1563.0
Gwinnett,SUGAR HILL C,5085.0,595.0,1255.0,471.0,1.0,2322.0,233.0,766.0,512.0,0.0,1511.0,3833.0
Gwinnett,SUGAR HILL D,4624.0,319.0,1166.0,336.0,6.0,1827.0,189.0,762.0,450.0,2.0,1403.0,3230.0
Gwinnett,DULUTH C,2229.0,188.0,314.0,207.0,2.0,711.0,155.0,378.0,328.0,2.0,863.0,1574.0
Gwinnett,DULUTH D,5077.0,233.0,681.0,293.0,5.0,1212.0,308.0,1027.0,681.0,13.0,2029.0,3241.0
Gwinnett,PINCKNEYVILLE K,3754.0,141.0,210.0,128.0,0.0,479.0,376.0,825.0,452.0,7.0,1660.0,2139.0
Gwinnett,PINCKNEYVILLE N,3819.0,137.0,201.0,67.0,1.0,406.0,449.0,949.0,493.0,4.0,1895.0,2301.0
Gwinnett,LAWRENCEVILLE D,5012.0,166.0,270.0,208.0,3.0,647.0,427.0,1079.0,527.0,8.0,2041.0,2688.0
Gwinnett,LAWRENCEVILLE E,2355.0,158.0,391.0,260.0,1.0,810.0,148.0,390.0,302.0,1.0,841.0,1651.0
Gwinnett,PINCKNEYVILLE L,2330.0,308.0,435.0,451.0,0.0,1194.0,96.0,276.0,442.0,0.0,814.0,2008.0
Gwinnett,PINCKNEYVILLE M,2673.0,350.0,641.0,417.0,0.0,1408.0,80.0,325.0,416.0,0.0,821.0,2229.0
Gwinnett,PUCKETTS E,5660.0,304.0,1070.0,430.0,0.0,1804.0,233.0,1129.0,668.0,3.0,2033.0,3837.0
Gwinnett,CATES I,3537.0,270.0,600.0,312.0,1.0,1183.0,179.0,812.0,550.0,1.0,1542.0,2725.0
Gwinnett,GOODWINS B,3960.0,326.0,891.0,336.0,1.0,1554.0,193.0,637.0,541.0,0.0,1371.0,2925.0
Gwinnett,LAWRENCEVILLE F,4061.0,171.0,338.0,164.0,0.0,673.0,301.0,1143.0,603.0,3.0,2050.0,2723.0
