County,Precinct,Registered Voters,Rosemary M. Greene (I) (Rep)_Election Day Votes,Rosemary M. Greene (I) (Rep)_Advanced Voting Votes,Rosemary M. Greene (I) (Rep)_Absentee by Mail Votes,Rosemary M. Greene (I) (Rep)_Provisional Votes,Rosemary M. Greene (I) (Rep)_Choice Total,Total Votes
Gordon,Sugar Valley,1471.0,431.0,368.0,110.0,1.0,910.0,910.0
Gordon,Plainville,2044.0,547.0,464.0,158.0,3.0,1172.0,1172.0
Gordon,Sonoraville,5380.0,1167.0,1736.0,441.0,1.0,3345.0,3345.0
Gordon,Pine Chapel,1071.0,320.0,265.0,69.0,0.0,654.0,654.0
Gordon,Oostanaula,667.0,222.0,123.0,73.0,0.0,418.0,418.0
Gordon,Oakman,1439.0,444.0,255.0,96.0,0.0,795.0,795.0
Gordon,Gordon County,6423.0,900.0,2021.0,542.0,1.0,3464.0,3464.0
Gordon,Calhoun City,9532.0,1128.0,2985.0,887.0,2.0,5002.0,5002.0
Gordon,Lily Pond,1914.0,369.0,596.0,164.0,0.0,1129.0,1129.0
Gordon,Fairmount,1991.0,684.0,350.0,183.0,2.0,1219.0,1219.0
Gordon,Red Bud,2965.0,653.0,937.0,182.0,1.0,1773.0,1773.0
Gordon,Resaca,1532.0,408.0,341.0,115.0,0.0,864.0,864.0
Bartow,Adairsville,6995.0,900.0,2638.0,644.0,1.0,4183.0,4183.0
Bartow,Allatoona,4729.0,631.0,1284.0,383.0,0.0,2298.0,2298.0
Bartow,Cartersville East,6805.0,733.0,2086.0,798.0,0.0,3617.0,3617.0
Bartow,Cartersville West,8129.0,709.0,3195.0,1048.0,1.0,4953.0,4953.0
Bartow,Cassville,4588.0,505.0,1469.0,787.0,2.0,2763.0,2763.0
Bartow,Center,4007.0,728.0,1369.0,487.0,2.0,2586.0,2586.0
Bartow,Emerson,3122.0,636.0,808.0,319.0,1.0,1764.0,1764.0
Bartow,Euharlee,5322.0,939.0,1859.0,497.0,1.0,3296.0,3296.0
Bartow,Folsom,1448.0,413.0,377.0,133.0,0.0,923.0,923.0
Bartow,Hamilton Crossing,6598.0,805.0,2402.0,467.0,1.0,3675.0,3675.0
Bartow,Kingston,2674.0,679.0,718.0,262.0,0.0,1659.0,1659.0
Bartow,Mission Road,4012.0,495.0,1422.0,440.0,4.0,2361.0,2361.0
Bartow,Pine Log,2132.0,666.0,546.0,223.0,0.0,1435.0,1435.0
Bartow,Taylorsville,2829.0,811.0,826.0,284.0,0.0,1921.0,1921.0
Bartow,White,2723.0,681.0,777.0,272.0,1.0,1731.0,1731.0
Bartow,Zena Drive,6431.0,672.0,1721.0,634.0,5.0,3032.0,3032.0
Bartow,Woodland,1865.0,335.0,561.0,224.0,1.0,1121.0,1121.0
