County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total Votes
Pike,Concord,0.0,283.0,521.0,79.0,0.0,883.0,50.0,88.0,82.0,0.0,220.0,1103.0
Pike,Hollonville,0.0,344.0,790.0,133.0,0.0,1267.0,13.0,45.0,43.0,0.0,101.0,1368.0
Pike,Meansville,0.0,279.0,549.0,81.0,0.0,909.0,27.0,48.0,20.0,0.0,95.0,1004.0
Pike,Molena,0.0,350.0,532.0,100.0,0.0,982.0,45.0,65.0,48.0,0.0,158.0,1140.0
Pike,Second District,0.0,372.0,1213.0,199.0,0.0,1784.0,38.0,106.0,75.0,0.0,219.0,2003.0
Pike,Lifsey Springs,0.0,208.0,477.0,90.0,0.0,775.0,17.0,35.0,42.0,0.0,94.0,869.0
Pike,Williamson,0.0,287.0,835.0,123.0,0.0,1245.0,28.0,66.0,49.0,0.0,143.0,1388.0
Pike,Zebulon,0.0,213.0,915.0,139.0,0.0,1267.0,32.0,177.0,130.0,0.0,339.0,1606.0
Harris,Cataula,2898.0,629.0,817.0,266.0,1.0,1713.0,102.0,225.0,197.0,0.0,524.0,2237.0
Harris,Ellerslie,4211.0,842.0,1176.0,395.0,0.0,2413.0,127.0,433.0,360.0,0.0,920.0,3333.0
Harris,Goodman,1649.0,255.0,345.0,149.0,0.0,749.0,134.0,129.0,132.0,1.0,396.0,1145.0
Harris,Hamilton,2739.0,433.0,767.0,174.0,4.0,1378.0,143.0,289.0,231.0,1.0,664.0,2042.0
Harris,Lower 19th,2570.0,667.0,691.0,244.0,2.0,1604.0,59.0,158.0,177.0,0.0,394.0,1998.0
Harris,Mulberry Grove,2908.0,580.0,1001.0,292.0,0.0,1873.0,53.0,177.0,149.0,0.0,379.0,2252.0
Harris,Pine Mountain Valley,1121.0,410.0,215.0,81.0,2.0,708.0,45.0,39.0,44.0,0.0,128.0,836.0
Harris,Skinner,894.0,265.0,112.0,85.0,1.0,463.0,94.0,45.0,77.0,1.0,217.0,680.0
Harris,Upper 19th,1628.0,428.0,514.0,157.0,2.0,1101.0,52.0,76.0,57.0,0.0,185.0,1286.0
Harris,Valley Plains,785.0,244.0,113.0,52.0,0.0,409.0,69.0,38.0,60.0,0.0,167.0,576.0
Harris,Waverly Hall,2853.0,519.0,640.0,251.0,2.0,1412.0,149.0,245.0,272.0,1.0,667.0,2079.0
Harris,Whitesville,1370.0,409.0,304.0,119.0,0.0,832.0,85.0,67.0,95.0,0.0,247.0,1079.0
Meriwether,Chalybeate,451.0,169.0,107.0,28.0,0.0,304.0,15.0,7.0,23.0,0.0,45.0,349.0
Meriwether,Gill I,1662.0,283.0,342.0,139.0,0.0,764.0,139.0,121.0,130.0,1.0,391.0,1155.0
Meriwether,Gill II,1000.0,43.0,83.0,28.0,0.0,154.0,141.0,142.0,203.0,0.0,486.0,640.0
Meriwether,Odessadale,296.0,35.0,84.0,25.0,0.0,144.0,29.0,14.0,37.0,1.0,81.0,225.0
Meriwether,Greenville,2009.0,111.0,458.0,127.0,0.0,696.0,99.0,333.0,182.0,0.0,614.0,1310.0
Meriwether,Lone Oak,1263.0,157.0,267.0,61.0,0.0,485.0,92.0,150.0,167.0,0.0,409.0,894.0
Meriwether,Luthersville,2760.0,384.0,616.0,166.0,0.0,1166.0,158.0,268.0,230.0,0.0,656.0,1822.0
Meriwether,Alvaton,1528.0,249.0,350.0,116.0,1.0,716.0,112.0,121.0,125.0,2.0,360.0,1076.0
Meriwether,Gay,411.0,85.0,106.0,29.0,0.0,220.0,21.0,16.0,32.0,0.0,69.0,289.0
Meriwether,Woodbury,1363.0,157.0,262.0,90.0,0.0,509.0,157.0,143.0,119.0,0.0,419.0,928.0
Meriwether,Warm Springs,1161.0,172.0,277.0,91.0,1.0,541.0,90.0,94.0,59.0,0.0,243.0,784.0
Meriwether,Durand,730.0,158.0,145.0,53.0,0.0,356.0,43.0,67.0,54.0,0.0,164.0,520.0
Meriwether,Raleigh,501.0,116.0,164.0,38.0,0.0,318.0,13.0,23.0,22.0,0.0,58.0,376.0
Meriwether,Cove,202.0,90.0,29.0,31.0,0.0,150.0,5.0,1.0,6.0,0.0,12.0,162.0
Fayette,Blackrock,2699.0,86.0,279.0,209.0,6.0,580.0,137.0,738.0,467.0,3.0,1345.0,1925.0
Fayette,Brooks,2567.0,535.0,847.0,308.0,2.0,1692.0,31.0,101.0,141.0,0.0,273.0,1965.0
Fayette,Fayetteville East,2147.0,84.0,312.0,173.0,3.0,572.0,96.0,440.0,266.0,2.0,804.0,1376.0
Fayette,Fayetteville West,2362.0,128.0,377.0,176.0,0.0,681.0,88.0,487.0,306.0,1.0,882.0,1563.0
Fayette,Flint,1732.0,128.0,207.0,128.0,0.0,463.0,90.0,441.0,221.0,0.0,752.0,1215.0
Fayette,Rareover,3045.0,159.0,1230.0,221.0,3.0,1613.0,51.0,501.0,164.0,0.0,716.0,2329.0
Fayette,Sandy Creek,4848.0,108.0,614.0,157.0,0.0,879.0,135.0,1106.0,392.0,0.0,1633.0,2512.0
Fayette,Shakerag East,1689.0,195.0,478.0,135.0,1.0,809.0,59.0,225.0,139.0,1.0,424.0,1233.0
Fayette,Shakerag West,1236.0,50.0,500.0,136.0,1.0,687.0,22.0,187.0,143.0,1.0,353.0,1040.0
Fayette,Starrsmill,3572.0,396.0,988.0,398.0,0.0,1782.0,82.0,226.0,217.0,0.0,525.0,2307.0
Fayette,Whitewater,3564.0,305.0,1224.0,414.0,5.0,1948.0,73.0,448.0,290.0,6.0,817.0,2765.0
Fayette,Woolsey,2542.0,330.0,761.0,368.0,0.0,1459.0,41.0,146.0,184.0,0.0,371.0,1830.0
