County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total Votes
Gwinnett,HARBINS A,7182.0,367.0,1549.0,513.0,0.0,2429.0,330.0,1538.0,859.0,0.0,2727.0,5156.0
Gwinnett,DACULA,4777.0,250.0,938.0,252.0,0.0,1440.0,236.0,1079.0,602.0,0.0,1917.0,3357.0
Gwinnett,DUNCANS A,4729.0,359.0,1558.0,495.0,2.0,2414.0,120.0,716.0,468.0,0.0,1304.0,3718.0
Gwinnett,DUNCANS C,3040.0,333.0,1025.0,306.0,0.0,1664.0,87.0,424.0,276.0,0.0,787.0,2451.0
Gwinnett,ROCKYCREEK A,5939.0,467.0,1489.0,415.0,0.0,2371.0,273.0,1118.0,634.0,2.0,2027.0,4398.0
Gwinnett,DUNCANS D,7153.0,613.0,2105.0,729.0,1.0,3448.0,284.0,958.0,696.0,0.0,1938.0,5386.0
Gwinnett,BAYCREEK C,6499.0,325.0,1043.0,377.0,1.0,1746.0,356.0,1750.0,889.0,0.0,2995.0,4741.0
Gwinnett,DUNCANS B,5387.0,571.0,1656.0,507.0,1.0,2735.0,214.0,755.0,477.0,2.0,1448.0,4183.0
Gwinnett,HARBINS B,4845.0,338.0,1269.0,324.0,0.0,1931.0,194.0,861.0,430.0,2.0,1487.0,3418.0
Gwinnett,HARBINS C,2850.0,380.0,616.0,186.0,2.0,1184.0,166.0,601.0,261.0,1.0,1029.0,2213.0
Gwinnett,ROCKYCREEK C,4806.0,337.0,1212.0,372.0,0.0,1921.0,231.0,937.0,532.0,2.0,1702.0,3623.0
