County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Richmond,607,1812.0,26.0,43.0,35.0,0.0,104.0,184.0,524.0,400.0,1.0,1109.0,1213.0
Richmond,608,1472.0,248.0,245.0,108.0,0.0,601.0,86.0,171.0,146.0,1.0,404.0,1005.0
Richmond,701,2403.0,324.0,574.0,277.0,1.0,1176.0,96.0,256.0,285.0,1.0,638.0,1814.0
Richmond,702,1943.0,307.0,419.0,178.0,0.0,904.0,106.0,208.0,174.0,0.0,488.0,1392.0
Richmond,703,4644.0,377.0,615.0,279.0,1.0,1272.0,335.0,746.0,480.0,6.0,1567.0,2839.0
Richmond,705,2276.0,222.0,452.0,313.0,2.0,989.0,115.0,311.0,253.0,1.0,680.0,1669.0
Richmond,706,3315.0,265.0,880.0,377.0,0.0,1522.0,111.0,437.0,369.0,2.0,919.0,2441.0
Richmond,707,2122.0,163.0,250.0,104.0,1.0,518.0,210.0,409.0,211.0,2.0,832.0,1350.0
Richmond,708,305.0,22.0,110.0,32.0,1.0,165.0,7.0,42.0,20.0,0.0,69.0,234.0
Richmond,709,576.0,47.0,109.0,56.0,0.0,212.0,29.0,78.0,84.0,0.0,191.0,403.0
Richmond,801,523.0,164.0,44.0,38.0,1.0,247.0,36.0,26.0,50.0,0.0,112.0,359.0
Richmond,801B,523.0,195.0,33.0,49.0,0.0,277.0,34.0,15.0,36.0,0.0,85.0,362.0
Richmond,802,3251.0,712.0,425.0,221.0,4.0,1362.0,149.0,243.0,304.0,2.0,698.0,2060.0
Richmond,803,252.0,9.0,23.0,2.0,0.0,34.0,25.0,25.0,28.0,1.0,79.0,113.0
Richmond,804,2096.0,206.0,268.0,111.0,0.0,585.0,135.0,392.0,250.0,0.0,777.0,1362.0
Richmond,804H,2863.0,381.0,436.0,212.0,0.0,1029.0,167.0,380.0,326.0,5.0,878.0,1907.0
Richmond,805,798.0,62.0,84.0,28.0,0.0,174.0,68.0,183.0,114.0,1.0,366.0,540.0
Richmond,806,1212.0,205.0,208.0,89.0,0.0,502.0,70.0,130.0,110.0,1.0,311.0,813.0
Richmond,807,1578.0,85.0,111.0,54.0,0.0,250.0,127.0,307.0,242.0,1.0,677.0,927.0
Richmond,808,2366.0,306.0,386.0,181.0,0.0,873.0,158.0,361.0,282.0,1.0,802.0,1675.0
Richmond,809,879.0,13.0,25.0,14.0,0.0,52.0,75.0,301.0,189.0,2.0,567.0,619.0
Richmond,810,425.0,57.0,94.0,27.0,0.0,178.0,9.0,69.0,52.0,0.0,130.0,308.0
Laurens,FBC-FLC,4180.0,348.0,1152.0,480.0,0.0,1980.0,173.0,530.0,350.0,1.0,1054.0,3034.0
Laurens,Calhoun Park,6053.0,193.0,475.0,219.0,0.0,887.0,525.0,955.0,850.0,0.0,2330.0,3217.0
Laurens,Fire Dept Sta 5,3672.0,521.0,1202.0,359.0,0.0,2082.0,132.0,374.0,219.0,0.0,725.0,2807.0
Laurens,Buckeye,1047.0,211.0,123.0,59.0,0.0,393.0,77.0,105.0,134.0,1.0,317.0,710.0
Laurens,Burch,422.0,165.0,45.0,38.0,0.0,248.0,19.0,13.0,33.0,0.0,65.0,313.0
Laurens,Cadwell,749.0,297.0,125.0,50.0,1.0,473.0,29.0,26.0,19.0,0.0,74.0,547.0
Laurens,Brewton,1739.0,460.0,333.0,116.0,1.0,910.0,67.0,96.0,71.0,0.0,234.0,1144.0
Laurens,Dudley,1121.0,351.0,317.0,99.0,0.0,767.0,38.0,56.0,59.0,0.0,153.0,920.0
Laurens,Hampton Mill,1772.0,645.0,370.0,139.0,0.0,1154.0,77.0,43.0,55.0,0.0,175.0,1329.0
Laurens,Harvard,406.0,101.0,39.0,27.0,0.0,167.0,48.0,37.0,25.0,0.0,110.0,277.0
Laurens,Minter,937.0,356.0,185.0,92.0,1.0,634.0,13.0,9.0,16.0,0.0,38.0,672.0
Laurens,Rural Fire Sta 17,2344.0,486.0,523.0,181.0,0.0,1190.0,102.0,147.0,125.0,0.0,374.0,1564.0
Laurens,W T Adams Fire Sta 18,2090.0,380.0,614.0,173.0,0.0,1167.0,100.0,205.0,175.0,1.0,481.0,1648.0
Laurens,Reedy Springs,894.0,386.0,135.0,50.0,0.0,571.0,39.0,34.0,28.0,0.0,101.0,672.0
Laurens,Smith,3374.0,397.0,454.0,173.0,0.0,1024.0,245.0,377.0,269.0,0.0,891.0,1915.0
Laurens,LCFS 10 Valambrosia,2080.0,306.0,412.0,150.0,0.0,868.0,111.0,241.0,174.0,0.0,526.0,1394.0
Effingham,1B,3005.0,175.0,451.0,70.0,0.0,696.0,24.0,52.0,47.0,0.0,123.0,819.0
Effingham,3A,1398.0,317.0,428.0,88.0,0.0,833.0,49.0,67.0,47.0,0.0,163.0,996.0
Effingham,3B,1553.0,261.0,397.0,76.0,0.0,734.0,138.0,141.0,103.0,0.0,382.0,1116.0
Effingham,3C,2060.0,293.0,695.0,121.0,1.0,1110.0,71.0,178.0,50.0,1.0,300.0,1410.0
