County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Columbia,Abilene Baptist,2046.0,316.0,504.0,172.0,0.0,992.0,87.0,192.0,158.0,0.0,437.0,1429.0
Columbia,Augusta Christian,2179.0,329.0,533.0,193.0,1.0,1056.0,120.0,236.0,196.0,0.0,552.0,1608.0
Columbia,Savannah Rapids Pavilion,1549.0,147.0,627.0,277.0,0.0,1051.0,24.0,123.0,176.0,0.0,323.0,1374.0
Columbia,Gospel Water Branch,2096.0,258.0,673.0,170.0,2.0,1103.0,92.0,251.0,213.0,1.0,557.0,1660.0
Columbia,Genesis Church,1830.0,250.0,550.0,197.0,0.0,997.0,75.0,181.0,167.0,1.0,424.0,1421.0
Columbia,Stevens Creek Church,2760.0,397.0,965.0,288.0,1.0,1651.0,80.0,286.0,262.0,0.0,628.0,2279.0
Columbia,Mtz Col Fire Hdqtr,1291.0,210.0,235.0,81.0,1.0,527.0,99.0,121.0,87.0,0.0,307.0,834.0
Columbia,Lakeside Middle,1923.0,274.0,504.0,104.0,0.0,882.0,99.0,233.0,138.0,1.0,471.0,1353.0
Columbia,Martinez Baptist,1962.0,332.0,343.0,118.0,0.0,793.0,149.0,219.0,141.0,0.0,509.0,1302.0
Columbia,Gold Cross EMS,1889.0,242.0,487.0,311.0,5.0,1045.0,62.0,140.0,130.0,1.0,333.0,1378.0
Columbia,Church of Our Savior,2310.0,325.0,498.0,206.0,3.0,1032.0,149.0,239.0,216.0,2.0,606.0,1638.0
Columbia,West Acres Baptist,2424.0,318.0,767.0,190.0,1.0,1276.0,80.0,250.0,195.0,0.0,525.0,1801.0
Columbia,Journey Comm Church,1268.0,165.0,520.0,154.0,3.0,842.0,35.0,96.0,79.0,0.0,210.0,1052.0
Columbia,Wesley Methodist,2434.0,332.0,823.0,201.0,3.0,1359.0,90.0,287.0,158.0,1.0,536.0,1895.0
Columbia,Col Cty Main Library,2106.0,200.0,696.0,144.0,0.0,1040.0,60.0,270.0,184.0,1.0,515.0,1555.0
Columbia,Christ Church Presbyterian,2081.0,293.0,759.0,162.0,1.0,1215.0,60.0,222.0,149.0,1.0,432.0,1647.0
Columbia,Blue Ridge Elementary,2301.0,288.0,625.0,154.0,0.0,1067.0,128.0,273.0,171.0,1.0,573.0,1640.0
Columbia,Christ The King Luth Church,2148.0,209.0,772.0,264.0,1.0,1246.0,40.0,240.0,208.0,0.0,488.0,1734.0
Appling,1B,1309.0,231.0,480.0,122.0,1.0,834.0,29.0,52.0,45.0,0.0,126.0,960.0
Appling,1C,848.0,174.0,339.0,66.0,2.0,581.0,15.0,18.0,8.0,0.0,41.0,622.0
Appling,2,2251.0,137.0,309.0,76.0,0.0,522.0,153.0,424.0,281.0,1.0,859.0,1381.0
Appling,3A1,793.0,224.0,286.0,62.0,0.0,572.0,4.0,6.0,9.0,0.0,19.0,591.0
Appling,3C,1566.0,106.0,588.0,129.0,0.0,823.0,49.0,124.0,98.0,0.0,271.0,1094.0
Appling,4B,866.0,246.0,313.0,70.0,0.0,629.0,3.0,11.0,8.0,0.0,22.0,651.0
Appling,4D,1493.0,232.0,629.0,157.0,1.0,1019.0,17.0,60.0,38.0,0.0,115.0,1134.0
Appling,5A,1147.0,132.0,439.0,97.0,1.0,669.0,20.0,54.0,35.0,2.0,111.0,780.0
Appling,5B,1126.0,194.0,392.0,97.0,3.0,686.0,32.0,59.0,35.0,0.0,126.0,812.0
Candler,Jack Strickland Comm Center,6300.0,1599.0,1153.0,393.0,0.0,3145.0,489.0,335.0,350.0,1.0,1175.0,4320.0
Screven,Sylvania,0.0,74.0,269.0,101.0,0.0,444.0,60.0,176.0,116.0,1.0,353.0,797.0
Screven,Hunters,0.0,88.0,99.0,30.0,8.0,225.0,25.0,49.0,47.0,1.0,122.0,347.0
Screven,Newington,0.0,227.0,228.0,51.0,0.0,506.0,72.0,104.0,62.0,0.0,238.0,744.0
Screven,Jenk Hill Fire Sta,0.0,96.0,235.0,60.0,1.0,392.0,78.0,204.0,101.0,0.0,383.0,775.0
Screven,Rocky Ford,0.0,113.0,138.0,44.0,0.0,295.0,18.0,31.0,28.0,0.0,77.0,372.0
Screven,Bay Branch,0.0,198.0,351.0,65.0,1.0,615.0,14.0,49.0,20.0,0.0,83.0,698.0
Screven,Hiltonia,0.0,91.0,210.0,26.0,0.0,327.0,76.0,115.0,77.0,0.0,268.0,595.0
Screven,Screven Rec Dept,0.0,33.0,75.0,15.0,0.0,123.0,37.0,60.0,49.0,3.0,149.0,272.0
Screven,Greenhill Church,0.0,165.0,265.0,53.0,0.0,483.0,38.0,56.0,43.0,0.0,137.0,620.0
Screven,Sr Citizens Center,0.0,51.0,175.0,59.0,0.0,285.0,119.0,251.0,119.0,0.0,489.0,774.0
Screven,Jackson Fire Station,0.0,108.0,83.0,25.0,0.0,216.0,15.0,20.0,37.0,0.0,72.0,288.0
