County,Precinct,Registered Voters,James Chafin_Election Day Votes,James Chafin_Advanced Voting Votes,James Chafin_Absentee by Mail Votes,James Chafin_Provisional Votes,James Chafin_Choice Total,Deborah Gonzalez (Dem)_Election Day Votes,Deborah Gonzalez (Dem)_Advanced Voting Votes,Deborah Gonzalez (Dem)_Absentee by Mail Votes,Deborah Gonzalez (Dem)_Provisional Votes,Deborah Gonzalez (Dem)_Choice Total,Brian Patterson (Dem)_Election Day Votes,Brian Patterson (Dem)_Advanced Voting Votes,Brian Patterson (Dem)_Absentee by Mail Votes,Brian Patterson (Dem)_Provisional Votes,Brian Patterson (Dem)_Choice Total,Total Votes
Oconee,City Hall,3910.0,222.0,1112.0,251.0,0.0,1585.0,69.0,584.0,284.0,0.0,937.0,49.0,326.0,178.0,0.0,553.0,3075.0
Oconee,Colham Ferry,1847.0,158.0,661.0,136.0,0.0,955.0,23.0,214.0,131.0,0.0,368.0,21.0,95.0,61.0,0.0,177.0,1500.0
Oconee,Antioch,1397.0,175.0,448.0,96.0,0.0,719.0,35.0,97.0,68.0,0.0,200.0,25.0,74.0,57.0,0.0,156.0,1075.0
Oconee,Farmington,737.0,124.0,190.0,33.0,0.0,347.0,19.0,66.0,53.0,0.0,138.0,11.0,40.0,18.0,0.0,69.0,554.0
Oconee,Bishop,1938.0,166.0,638.0,112.0,1.0,917.0,37.0,181.0,114.0,1.0,333.0,43.0,139.0,87.0,0.0,269.0,1519.0
Oconee,High Shoals,1939.0,175.0,725.0,121.0,0.0,1021.0,24.0,205.0,80.0,0.0,309.0,34.0,145.0,70.0,0.0,249.0,1579.0
Oconee,North Oconee,1244.0,132.0,432.0,86.0,0.0,650.0,18.0,108.0,54.0,0.0,180.0,26.0,77.0,50.0,0.0,153.0,983.0
Oconee,Dark Corner,3541.0,357.0,1415.0,273.0,0.0,2045.0,52.0,262.0,150.0,1.0,465.0,39.0,138.0,87.0,0.0,264.0,2774.0
Oconee,Bogart,2384.0,254.0,689.0,144.0,0.0,1087.0,71.0,247.0,127.0,0.0,445.0,34.0,81.0,89.0,0.0,204.0,1736.0
Oconee,Marswood Hall,4091.0,222.0,1326.0,376.0,0.0,1924.0,59.0,440.0,343.0,0.0,842.0,46.0,210.0,255.0,0.0,511.0,3277.0
Oconee,East Oconee,2647.0,95.0,738.0,154.0,0.0,987.0,52.0,328.0,222.0,0.0,602.0,31.0,245.0,153.0,0.0,429.0,2018.0
Oconee,Civic Center,4396.0,236.0,1379.0,320.0,0.0,1935.0,59.0,532.0,327.0,0.0,918.0,47.0,278.0,231.0,0.0,556.0,3409.0
Clarke,1A,3017.0,188.0,154.0,118.0,0.0,460.0,227.0,367.0,323.0,3.0,920.0,94.0,123.0,175.0,0.0,392.0,1772.0
Clarke,1B,3645.0,99.0,255.0,163.0,3.0,520.0,150.0,612.0,563.0,1.0,1326.0,63.0,191.0,216.0,0.0,470.0,2316.0
Clarke,1C,2242.0,114.0,212.0,107.0,0.0,433.0,111.0,446.0,447.0,0.0,1004.0,37.0,107.0,147.0,0.0,291.0,1728.0
Clarke,1D,2830.0,132.0,264.0,210.0,1.0,607.0,124.0,485.0,610.0,0.0,1219.0,52.0,139.0,164.0,0.0,355.0,2181.0
Clarke,2A,4341.0,112.0,98.0,78.0,0.0,288.0,365.0,593.0,507.0,0.0,1465.0,99.0,183.0,182.0,1.0,465.0,2218.0
Clarke,2B,5136.0,78.0,113.0,43.0,0.0,234.0,322.0,921.0,558.0,4.0,1805.0,116.0,212.0,184.0,0.0,512.0,2551.0
Clarke,3A,2938.0,32.0,80.0,36.0,1.0,149.0,225.0,484.0,362.0,3.0,1074.0,45.0,93.0,80.0,1.0,219.0,1442.0
Clarke,3B,4122.0,82.0,164.0,52.0,1.0,299.0,230.0,866.0,474.0,2.0,1572.0,49.0,135.0,84.0,1.0,269.0,2140.0
Clarke,4A,2072.0,55.0,138.0,61.0,0.0,254.0,137.0,393.0,260.0,1.0,791.0,47.0,77.0,64.0,0.0,188.0,1233.0
Clarke,4B,4096.0,160.0,325.0,118.0,1.0,604.0,226.0,858.0,512.0,1.0,1597.0,61.0,194.0,126.0,0.0,381.0,2582.0
Clarke,5A,3007.0,81.0,280.0,145.0,1.0,507.0,150.0,721.0,445.0,0.0,1316.0,45.0,154.0,179.0,0.0,378.0,2201.0
Clarke,5B,3030.0,88.0,198.0,166.0,0.0,452.0,209.0,525.0,458.0,1.0,1193.0,48.0,134.0,173.0,0.0,355.0,2000.0
Clarke,5C,2053.0,38.0,61.0,36.0,0.0,135.0,118.0,695.0,419.0,1.0,1233.0,26.0,98.0,61.0,0.0,185.0,1553.0
Clarke,5D,3087.0,69.0,137.0,69.0,0.0,275.0,257.0,533.0,304.0,5.0,1099.0,76.0,132.0,129.0,0.0,337.0,1711.0
Clarke,6A,3780.0,171.0,494.0,287.0,1.0,953.0,157.0,501.0,471.0,2.0,1131.0,61.0,170.0,176.0,1.0,408.0,2492.0
Clarke,6B,3865.0,138.0,356.0,250.0,0.0,744.0,189.0,603.0,592.0,1.0,1385.0,64.0,175.0,217.0,0.0,456.0,2585.0
Clarke,6C,3129.0,161.0,324.0,196.0,0.0,681.0,128.0,485.0,462.0,0.0,1075.0,49.0,153.0,181.0,0.0,383.0,2139.0
Clarke,6D,1701.0,88.0,127.0,53.0,0.0,268.0,91.0,399.0,321.0,0.0,811.0,34.0,59.0,75.0,0.0,168.0,1247.0
Clarke,7A,2968.0,133.0,287.0,192.0,1.0,613.0,151.0,487.0,431.0,0.0,1069.0,48.0,150.0,171.0,0.0,369.0,2051.0
Clarke,7B,3166.0,105.0,315.0,155.0,0.0,575.0,135.0,528.0,456.0,2.0,1121.0,37.0,155.0,190.0,0.0,382.0,2078.0
Clarke,7C,2733.0,127.0,254.0,154.0,2.0,537.0,140.0,499.0,409.0,0.0,1048.0,44.0,161.0,147.0,0.0,352.0,1937.0
Clarke,8A,3319.0,89.0,170.0,126.0,0.0,385.0,161.0,559.0,545.0,2.0,1267.0,47.0,131.0,195.0,1.0,374.0,2026.0
Clarke,8B,2317.0,84.0,136.0,100.0,0.0,320.0,138.0,362.0,351.0,0.0,851.0,58.0,92.0,119.0,0.0,269.0,1440.0
Clarke,8C,3910.0,140.0,247.0,148.0,0.0,535.0,222.0,676.0,576.0,2.0,1476.0,72.0,149.0,151.0,2.0,374.0,2385.0
