County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Muscogee,Faith Tabernacle,4461.0,49.0,100.0,58.0,0.0,207.0,339.0,1382.0,860.0,0.0,2581.0,2788.0
Muscogee,Canaan,7078.0,123.0,331.0,173.0,0.0,627.0,402.0,1758.0,1140.0,0.0,3300.0,3927.0
Muscogee,Holsey/Buena Vista,7613.0,69.0,272.0,151.0,0.0,492.0,458.0,2220.0,1269.0,0.0,3947.0,4439.0
Muscogee,Gentian/Reese,5612.0,367.0,839.0,334.0,0.0,1540.0,299.0,1012.0,652.0,0.0,1963.0,3503.0
Muscogee,St Paul/Clubview,5677.0,243.0,998.0,322.0,0.0,1563.0,173.0,700.0,459.0,0.0,1332.0,2895.0
Muscogee,St Andrews/Midland,7959.0,631.0,1643.0,602.0,0.0,2876.0,350.0,1353.0,1003.0,0.0,2706.0,5582.0
Muscogee,Salvation Army,3192.0,241.0,508.0,189.0,0.0,938.0,184.0,625.0,368.0,0.0,1177.0,2115.0
Muscogee,First African,1955.0,51.0,116.0,61.0,2.0,230.0,101.0,299.0,265.0,4.0,669.0,899.0
Muscogee,Epworth UMC,4512.0,9.0,12.0,9.0,1.0,31.0,24.0,38.0,26.0,0.0,88.0,119.0
Muscogee,Marianna Gallops,3095.0,96.0,179.0,73.0,1.0,349.0,203.0,488.0,333.0,5.0,1029.0,1378.0
Muscogee,Edgewood Baptist,3235.0,164.0,296.0,119.0,3.0,582.0,174.0,775.0,450.0,2.0,1401.0,1983.0
Muscogee,Psalmond/Mathews,7331.0,403.0,1739.0,575.0,0.0,2717.0,236.0,1531.0,1023.0,1.0,2791.0,5508.0
Baker,Anna,166.0,54.0,24.0,2.0,1.0,81.0,16.0,7.0,14.0,0.0,37.0,118.0
Baker,Elmodel,401.0,42.0,55.0,13.0,0.0,110.0,33.0,72.0,67.0,1.0,173.0,283.0
Baker,Hoggards Mill,351.0,37.0,52.0,12.0,0.0,101.0,42.0,38.0,47.0,0.0,127.0,228.0
Baker,Milford,270.0,55.0,44.0,16.0,0.0,115.0,36.0,22.0,27.0,0.0,85.0,200.0
Baker,Newton,1070.0,53.0,232.0,44.0,0.0,329.0,63.0,171.0,124.0,0.0,358.0,687.0
Talbot,ONeal,555.0,62.0,95.0,22.0,0.0,179.0,61.0,99.0,100.0,0.0,260.0,439.0
Talbot,Valley,688.0,80.0,133.0,46.0,0.0,259.0,88.0,82.0,122.0,0.0,292.0,551.0
Talbot,Junction City,437.0,36.0,48.0,23.0,0.0,107.0,52.0,39.0,118.0,0.0,209.0,316.0
Talbot,Geneva,482.0,41.0,71.0,25.0,1.0,138.0,49.0,53.0,125.0,0.0,227.0,365.0
Talbot,Talbotton,884.0,25.0,57.0,26.0,0.0,108.0,110.0,171.0,240.0,0.0,521.0,629.0
Talbot,Box Springs,469.0,113.0,53.0,18.0,0.0,184.0,49.0,34.0,70.0,0.0,153.0,337.0
Talbot,Flint Hill,1048.0,78.0,177.0,44.0,0.0,299.0,151.0,168.0,199.0,0.0,518.0,817.0
