County,Precinct,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total Votes
Berrien,West Berrien,999.0,338.0,280.0,95.0,1.0,714.0,714.0
Berrien,Ray City,1946.0,380.0,621.0,164.0,1.0,1166.0,1166.0
Berrien,Nashville,6079.0,623.0,2600.0,520.0,2.0,3745.0,3745.0
Berrien,Enigma,1111.0,339.0,248.0,78.0,4.0,669.0,669.0
Berrien,Alapaha,1140.0,332.0,300.0,86.0,1.0,719.0,719.0
Clinch,Arabia,108.0,60.0,12.0,4.0,0.0,76.0,76.0
Clinch,Argyle,367.0,98.0,109.0,16.0,0.0,223.0,223.0
Clinch,Dupont,338.0,107.0,71.0,11.0,1.0,190.0,190.0
Clinch,Fargo,270.0,147.0,20.0,10.0,0.0,177.0,177.0
Clinch,Homerville,3262.0,282.0,1130.0,217.0,0.0,1629.0,1629.0
Lanier,Lakeland,5462.0,612.0,2026.0,395.0,0.0,3033.0,3033.0
Cook,Cecil,1899.0,210.0,619.0,116.0,0.0,945.0,945.0
Cook,Delle Beamguard,2446.0,271.0,1003.0,210.0,0.0,1484.0,1484.0
Cook,Elm Pine,531.0,57.0,70.0,55.0,0.0,182.0,182.0
Cook,Lenox,1275.0,283.0,404.0,90.0,0.0,777.0,777.0
Cook,Massee,919.0,110.0,437.0,48.0,0.0,595.0,595.0
Cook,New Life Baptist Church,1233.0,249.0,502.0,74.0,0.0,825.0,825.0
Cook,Riverbend,1280.0,138.0,601.0,116.0,0.0,855.0,855.0
Cook,Sparks,1049.0,152.0,209.0,73.0,0.0,434.0,434.0
Atkinson,Pearson County,1802.0,237.0,689.0,84.0,0.0,1010.0,1010.0
Atkinson,Axson,742.0,193.0,247.0,28.0,1.0,469.0,469.0
Atkinson,Willacoochee,1311.0,257.0,340.0,65.0,0.0,662.0,662.0
Atkinson,Pearson City,944.0,102.0,219.0,47.0,0.0,368.0,368.0
