index,County,Precinct,Registered Voters,Wayne Trammell (I)_Election Day Votes,Wayne Trammell (I)_Advanced Voting Votes,Wayne Trammell (I)_Absentee by Mail Votes,Wayne Trammell (I)_Provisional Votes,Wayne Trammell (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,50,268,77,0,395,395,
1,Jackson,North Jackson,12699,191,842,236,0,1269,1269,
