index,County,Precinct,Registered Voters,Andrew Clyde (Rep)_Election Day Votes,Andrew Clyde (Rep)_Advanced Voting Votes,Andrew Clyde (Rep)_Absentee by Mail Votes,Andrew Clyde (Rep)_Provisional Votes,Andrew Clyde (Rep)_Choice Total,Devin Pandy (Dem)_Election Day Votes,Devin Pandy (Dem)_Advanced Voting Votes,Devin Pandy (Dem)_Absentee by Mail Votes,Devin Pandy (Dem)_Provisional Votes,Devin Pandy (Dem)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1462,6560,1215,2,9239,268,1244,769,0,2281,11520,
1,Jackson,North Jackson,12699,1259,4502,1172,1,6934,247,751,576,0,1574,8508,
2,Jackson,West Jackson,14977,1444,6453,1408,2,9307,283,1051,788,1,2123,11430,
3,Jackson,South Jackson,8012,865,2636,722,1,4224,172,547,470,0,1189,5413,
