index,County,Precinct,Registered Voters,Warren S. Wood (I) (Rep)_Election Day Votes,Warren S. Wood (I) (Rep)_Advanced Voting Votes,Warren S. Wood (I) (Rep)_Absentee by Mail Votes,Warren S. Wood (I) (Rep)_Provisional Votes,Warren S. Wood (I) (Rep)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1628,7239,1593,2,10462,10462,
1,Jackson,North Jackson,12699,1407,4932,1426,1,7766,7766,
2,Jackson,West Jackson,14977,1610,6984,1725,2,10321,10321,
3,Jackson,South Jackson,8012,953,2920,916,1,4790,4790,
