index,County,Precinct,Registered Voters,"Craig """"Buzzard"""" Sewell (I)_Election Day Votes","Craig """"Buzzard"""" Sewell (I)_Advanced Voting Votes","Craig """"Buzzard"""" Sewell (I)_Absentee by Mail Votes","Craig """"Buzzard"""" Sewell (I)_Provisional Votes","Craig """"Buzzard"""" Sewell (I)_Choice Total",Total,
0,Jackson,Central Jackson,16263,0,2,0,0,2,2,
1,Jackson,North Jackson,12699,173,715,170,0,1058,1058,
