index,County,Precinct,Registered Voters,Tommy Benton (I) (Rep)_Election Day Votes,Tommy Benton (I) (Rep)_Advanced Voting Votes,Tommy Benton (I) (Rep)_Absentee by Mail Votes,Tommy Benton (I) (Rep)_Provisional Votes,Tommy Benton (I) (Rep)_Choice Total,Pete Fuller (Dem)_Election Day Votes,Pete Fuller (Dem)_Advanced Voting Votes,Pete Fuller (Dem)_Absentee by Mail Votes,Pete Fuller (Dem)_Provisional Votes,Pete Fuller (Dem)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1427,6441,1166,2,9036,289,1333,782,0,2404,11440,
1,Jackson,North Jackson,12699,1252,4436,1152,1,6841,253,808,581,0,1642,8483,
2,Jackson,West Jackson,14977,1422,6380,1385,2,9189,296,1108,801,1,2206,11395,
3,Jackson,South Jackson,8012,268,1052,246,0,1566,34,135,103,0,272,1838,
