index,County,Precinct,Registered Voters,Shane Cox_Election Day Votes,Shane Cox_Advanced Voting Votes,Shane Cox_Absentee by Mail Votes,Shane Cox_Provisional Votes,Shane Cox_Choice Total,Total,
0,Jackson,Central Jackson,16263,95,471,96,0,662,662,
1,Jackson,South Jackson,8012,115,385,123,0,623,623,
