index,County,Precinct,Registered Voters,John Watson (I)_Election Day Votes,John Watson (I)_Advanced Voting Votes,John Watson (I)_Absentee by Mail Votes,John Watson (I)_Provisional Votes,John Watson (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,52,266,76,0,394,394,
1,Jackson,North Jackson,12699,190,840,233,0,1263,1263,
