index,County,Precinct,Registered Voters,Keith Whitfield (I) (Rep)_Election Day Votes,Keith Whitfield (I) (Rep)_Advanced Voting Votes,Keith Whitfield (I) (Rep)_Absentee by Mail Votes,Keith Whitfield (I) (Rep)_Provisional Votes,Keith Whitfield (I) (Rep)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1630,7233,1589,2,10454,10454,
1,Jackson,North Jackson,12699,1424,4953,1443,1,7821,7821,
2,Jackson,West Jackson,14977,1611,6989,1731,2,10333,10333,
3,Jackson,South Jackson,8012,956,2944,922,1,4823,4823,
