index,County,Precinct,Registered Voters,Douglas Martin (I)_Election Day Votes,Douglas Martin (I)_Advanced Voting Votes,Douglas Martin (I)_Absentee by Mail Votes,Douglas Martin (I)_Provisional Votes,Douglas Martin (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,92,469,94,0,655,655,
1,Jackson,South Jackson,8012,113,393,125,0,631,631,
