index,County,Precinct,Registered Voters,Dennis R. Elrod (I)_Election Day Votes,Dennis R. Elrod (I)_Advanced Voting Votes,Dennis R. Elrod (I)_Absentee by Mail Votes,Dennis R. Elrod (I)_Provisional Votes,Dennis R. Elrod (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,369,1229,334,0,1932,1932,
1,Jackson,West Jackson,14977,183,855,229,0,1267,1267,
