index,County,Precinct,Registered Voters,William Dewey Johnson (I)_Election Day Votes,William Dewey Johnson (I)_Advanced Voting Votes,William Dewey Johnson (I)_Absentee by Mail Votes,William Dewey Johnson (I)_Provisional Votes,William Dewey Johnson (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1588,7057,1589,2,10236,10236,
1,Jackson,North Jackson,12699,1380,4794,1426,1,7601,7601,
2,Jackson,West Jackson,14977,1572,6747,1748,1,10068,10068,
3,Jackson,South Jackson,8012,939,2856,932,1,4728,4728,
