index,County,Precinct,Registered Voters,Wm (Smitty) Stephens (I)_Election Day Votes,Wm (Smitty) Stephens (I)_Advanced Voting Votes,Wm (Smitty) Stephens (I)_Absentee by Mail Votes,Wm (Smitty) Stephens (I)_Provisional Votes,Wm (Smitty) Stephens (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,296,1258,293,0,1847,1847,
1,Jackson,West Jackson,14977,445,2275,563,0,3283,3283,
