index,County,Precinct,Registered Voters,Lendgrin Maddox (I)_Election Day Votes,Lendgrin Maddox (I)_Advanced Voting Votes,Lendgrin Maddox (I)_Absentee by Mail Votes,Lendgrin Maddox (I)_Provisional Votes,Lendgrin Maddox (I)_Choice Total,Total,
0,Jackson,Central Jackson,16263,370,1238,328,0,1936,1936,
1,Jackson,West Jackson,14977,181,858,231,0,1270,1270,
