index,County,Precinct,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total,
0,Jackson,Central Jackson,16263,1640,7196,1565,2,10403,10403,
1,Jackson,North Jackson,12699,1416,4919,1424,1,7760,7760,
2,Jackson,West Jackson,14977,1623,7002,1731,2,10358,10358,
3,Jackson,South Jackson,8012,958,2928,903,1,4790,4790,
