index,County,Precinct,Registered Voters,Leigh W. Starrett (I) (Rep)_Election Day Votes,Leigh W. Starrett (I) (Rep)_Advanced Voting Votes,Leigh W. Starrett (I) (Rep)_Absentee by Mail Votes,Leigh W. Starrett (I) (Rep)_Provisional Votes,Leigh W. Starrett (I) (Rep)_Choice Total,Total,
0,Elbert,Elberton,3798,288,1212,459,0,1959,1959,
1,Elbert,Longstreet,622,116,211,73,0,400,400,
2,Elbert,Eliam,748,165,270,102,0,537,537,
3,Elbert,Petersburg,377,109,98,59,0,266,266,
4,Elbert,Wyche,1095,150,459,137,0,746,746,
5,Elbert,Moss-Ruckersville,468,111,134,59,0,304,304,
6,Elbert,Pike,1596,250,487,225,0,962,962,
7,Elbert,Gaines,570,189,137,69,0,395,395,
8,Elbert,Goshen,1612,377,532,160,0,1069,1069,
9,Elbert,Webbsboro,408,102,143,46,0,291,291,
10,Elbert,Centerville,1011,223,353,96,0,672,672,
