index,County,Precinct,Registered Voters,Mike Turner (Rep)_Election Day Votes,Mike Turner (Rep)_Advanced Voting Votes,Mike Turner (Rep)_Absentee by Mail Votes,Mike Turner (Rep)_Provisional Votes,Mike Turner (Rep)_Choice Total,Lillvian Jones (Dem)_Election Day Votes,Lillvian Jones (Dem)_Advanced Voting Votes,Lillvian Jones (Dem)_Absentee by Mail Votes,Lillvian Jones (Dem)_Provisional Votes,Lillvian Jones (Dem)_Choice Total,Total,
0,Elbert,Pike,1596,141,271,84,0,496,38,94,96,0,228,724,
1,Elbert,Goshen,1612,341,493,126,0,960,71,85,81,0,237,1197,
2,Elbert,Webbsboro,408,30,51,15,0,96,6,21,12,0,39,135,
