County,Harrison Lance (Rep)_Election Day Votes,Harrison Lance (Rep)_Absentee by Mail Votes,Harrison Lance (Rep)_Advanced Voting Votes,Harrison Lance (Rep)_Provisional Votes,Harrison Lance (Rep)_TOTAL VOTES,"Jennifer """"Jen"""" Jordan (I) (Dem)_Election Day Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Absentee by Mail Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Advanced Voting Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_Provisional Votes","Jennifer """"Jen"""" Jordan (I) (Dem)_TOTAL VOTES",Total,
Cobb,3465,4941,6619,15,15040,5026,13158,15485,50,33719,48759,
Fulton,2821,5635,15268,118,23842,2077,9953,16240,129,28399,52241,
