County,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_TOTAL VOTES,Total,
Gordon,3659,1078,3874,3,8614,8614,
Murray,3932,1560,7837,0,13329,13329,
Pickens,2818,689,2360,7,5874,5874,
Whitfield,10202,4688,15011,50,29951,29951,
