County,Kay Kirkpatrick (I) (Rep)_Election Day Votes,Kay Kirkpatrick (I) (Rep)_Absentee by Mail Votes,Kay Kirkpatrick (I) (Rep)_Advanced Voting Votes,Kay Kirkpatrick (I) (Rep)_Provisional Votes,Kay Kirkpatrick (I) (Rep)_TOTAL VOTES,Christine Triebsch (Dem)_Election Day Votes,Christine Triebsch (Dem)_Absentee by Mail Votes,Christine Triebsch (Dem)_Advanced Voting Votes,Christine Triebsch (Dem)_Provisional Votes,Christine Triebsch (Dem)_TOTAL VOTES,Total,
Cobb,13624,20496,23053,33,57206,5166,22659,15221,21,43067,100273,
Fulton,843,1725,3744,24,6336,402,2518,4001,12,6933,13269,
