index,County,Precinct,Registered Voters,Mark Savage (I) (Rep)_Election Day Votes,Mark Savage (I) (Rep)_Advanced Voting Votes,Mark Savage (I) (Rep)_Absentee by Mail Votes,Mark Savage (I) (Rep)_Provisional Votes,Mark Savage (I) (Rep)_Choice Total,Total,
0,Banks,Anderson,1533,220,593,125,1,939,939,
1,Banks,Baldwin,876,94,334,132,0,560,560,
2,Banks,Berlin,415,45,197,27,1,270,270,
3,Banks,Bushville,816,125,306,53,1,485,485,
4,Banks,Columbia,363,64,169,33,0,266,266,
5,Banks,Davids,1977,259,766,142,4,1171,1171,
6,Banks,Golden Hill,1008,132,346,79,0,557,557,
7,Banks,Grove River,600,96,238,72,0,406,406,
8,Banks,Hollingsworth,667,88,290,62,1,441,441,
9,Banks,Homer,1544,181,674,132,0,987,987,
10,Banks,Poplar Springs,1775,234,740,164,1,1139,1139,
11,Banks,Washington,704,87,309,57,1,454,454,
12,Banks,Wilmonts,620,77,264,56,0,397,397,
