index,County,Precinct,Registered Voters,Keith Gardiner (Rep)_Election Day Votes,Keith Gardiner (Rep)_Advanced Voting Votes,Keith Gardiner (Rep)_Absentee by Mail Votes,Keith Gardiner (Rep)_Provisional Votes,Keith Gardiner (Rep)_Choice Total,Total,
0,Banks,Anderson,1533,221,592,121,1,935,935,
1,Banks,Baldwin,876,93,333,132,0,558,558,
2,Banks,Berlin,415,45,188,28,1,262,262,
3,Banks,Bushville,816,123,304,53,1,481,481,
4,Banks,Columbia,363,65,166,33,0,264,264,
5,Banks,Davids,1977,257,759,147,4,1167,1167,
6,Banks,Golden Hill,1008,130,344,76,0,550,550,
7,Banks,Grove River,600,96,238,72,0,406,406,
8,Banks,Hollingsworth,667,88,288,59,1,436,436,
9,Banks,Homer,1544,182,671,129,1,983,983,
10,Banks,Poplar Springs,1775,231,740,164,1,1136,1136,
11,Banks,Washington,704,88,307,56,1,452,452,
12,Banks,Wilmonts,620,77,264,57,0,398,398,
