index,County,Precinct,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total,
0,Banks,Anderson,1533,222,591,120,1,934,934,
1,Banks,Baldwin,876,94,337,133,0,564,564,
2,Banks,Berlin,415,45,192,27,1,265,265,
3,Banks,Bushville,816,121,305,53,1,480,480,
4,Banks,Columbia,363,65,167,33,0,265,265,
5,Banks,Davids,1977,261,762,146,4,1173,1173,
6,Banks,Golden Hill,1008,135,342,77,0,554,554,
7,Banks,Grove River,600,97,238,70,0,405,405,
8,Banks,Hollingsworth,667,89,291,60,1,441,441,
9,Banks,Homer,1544,183,668,124,1,976,976,
10,Banks,Poplar Springs,1775,229,736,161,1,1127,1127,
11,Banks,Washington,704,87,303,56,1,447,447,
12,Banks,Wilmonts,620,78,264,55,0,397,397,
