index,County,Precinct,Registered Voters,Tim Harper (I) (Rep)_Election Day Votes,Tim Harper (I) (Rep)_Advanced Voting Votes,Tim Harper (I) (Rep)_Absentee by Mail Votes,Tim Harper (I) (Rep)_Provisional Votes,Tim Harper (I) (Rep)_Choice Total,Total,
0,Banks,Anderson,1533,224,601,126,1,952,952,
1,Banks,Baldwin,876,95,338,134,0,567,567,
2,Banks,Berlin,415,44,199,27,1,271,271,
3,Banks,Bushville,816,122,309,55,1,487,487,
4,Banks,Columbia,363,65,168,33,0,266,266,
5,Banks,Davids,1977,261,772,149,4,1186,1186,
6,Banks,Golden Hill,1008,135,347,81,0,563,563,
7,Banks,Grove River,600,96,239,72,0,407,407,
8,Banks,Hollingsworth,667,89,292,64,1,446,446,
9,Banks,Homer,1544,184,684,131,0,999,999,
10,Banks,Poplar Springs,1775,230,740,166,1,1137,1137,
11,Banks,Washington,704,88,316,58,1,463,463,
12,Banks,Wilmonts,620,77,267,57,0,401,401,
