index,County,Precinct,Registered Voters,Shirley Graham (I) (Dem)_Election Day Votes,Shirley Graham (I) (Dem)_Advanced Voting Votes,Shirley Graham (I) (Dem)_Absentee by Mail Votes,Shirley Graham (I) (Dem)_Provisional Votes,Shirley Graham (I) (Dem)_Choice Total,Total,
0,Taylor,Precinct 1,1108,136,332,143,2,613,613,
1,Taylor,Precinct 5,2219,166,900,176,4,1246,1246,
2,Taylor,Precinct 6,2073,207,695,342,2,1246,1246,
