index,County,Precinct,Registered Voters,Teresa Winsor (Rep)_Election Day Votes,Teresa Winsor (Rep)_Advanced Voting Votes,Teresa Winsor (Rep)_Absentee by Mail Votes,Teresa Winsor (Rep)_Provisional Votes,Teresa Winsor (Rep)_Choice Total,Lisa D. McDonald (I) (Dem)_Election Day Votes,Lisa D. McDonald (I) (Dem)_Advanced Voting Votes,Lisa D. McDonald (I) (Dem)_Absentee by Mail Votes,Lisa D. McDonald (I) (Dem)_Provisional Votes,Lisa D. McDonald (I) (Dem)_Choice Total,Total,
0,Taylor,Precinct 1,1108,17,55,14,0,86,123,304,142,2,571,657,
1,Taylor,Precinct 5,2219,111,584,87,7,789,104,558,136,1,799,1588,
2,Taylor,Precinct 6,2073,108,359,71,2,540,143,488,318,0,949,1489,
