index,County,Precinct,Registered Voters,Sandra Heath Taylor (I) (Rep)_Election Day Votes,Sandra Heath Taylor (I) (Rep)_Advanced Voting Votes,Sandra Heath Taylor (I) (Rep)_Absentee by Mail Votes,Sandra Heath Taylor (I) (Rep)_Provisional Votes,Sandra Heath Taylor (I) (Rep)_Choice Total,Total,
0,Troup,Hollis Hand,3554,503,1332,562,1,2398,2398,
1,Troup,Administration Bldg,3907,362,642,330,4,1338,1338,
2,Troup,Hammett Rd,4354,496,974,434,4,1908,1908,
3,Troup,Griggs Center,2457,180,241,152,4,577,577,
4,Troup,West Point,2054,295,248,157,4,704,704,
5,Troup,Hogansville,3806,382,1448,337,3,2170,2170,
6,Troup,East Vernon,3117,642,1115,389,4,2150,2150,
7,Troup,Rosemont,3893,617,1658,506,4,2785,2785,
8,Troup,McClendon,3533,582,1494,346,6,2428,2428,
9,Troup,Long Cane,3249,683,1073,289,3,2048,2048,
10,Troup,Gardner Newman,2876,340,982,286,5,1613,1613,
11,Troup,Gray Hill,1878,505,491,124,7,1127,1127,
12,Troup,Highland,1686,173,456,159,2,790,790,
13,Troup,Northside,2600,296,852,282,4,1434,1434,
