index,County,Precinct,Registered Voters,"Vance Smith, Jr. (I) (Rep)_Election Day Votes","Vance Smith, Jr. (I) (Rep)_Advanced Voting Votes","Vance Smith, Jr. (I) (Rep)_Absentee by Mail Votes","Vance Smith, Jr. (I) (Rep)_Provisional Votes","Vance Smith, Jr. (I) (Rep)_Choice Total",Total,
0,Troup,Hollis Hand,3554,512,1328,555,0,2395,2395,
1,Troup,Administration Bldg,3907,85,148,86,1,320,320,
2,Troup,West Point,2054,299,253,150,4,706,706,
3,Troup,Rosemont,3893,563,1531,447,3,2544,2544,
4,Troup,Long Cane,3249,671,1071,282,3,2027,2027,
5,Troup,Gray Hill,1878,499,487,128,4,1118,1118,
6,Troup,Highland,1686,0,2,3,0,5,5,
7,Troup,Northside,2600,35,38,9,1,83,83,
