index,County,Precinct,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
0,Troup,Hogansville,3806,380,1425,321,0,2126,2126,
1,Troup,East Vernon,3117,638,1118,381,0,2137,2137,
2,Troup,Rosemont,3893,54,143,52,0,249,249,
3,Troup,McClendon,3533,586,1479,336,4,2405,2405,
4,Troup,Long Cane,3249,8,13,1,0,22,22,
5,Troup,Gardner Newman,2876,325,960,276,3,1564,1564,
