index,County,Precinct,Registered Voters,"Lewis C. Davis, Jr. (I) (Rep)_Election Day Votes","Lewis C. Davis, Jr. (I) (Rep)_Advanced Voting Votes","Lewis C. Davis, Jr. (I) (Rep)_Absentee by Mail Votes","Lewis C. Davis, Jr. (I) (Rep)_Provisional Votes","Lewis C. Davis, Jr. (I) (Rep)_Choice Total",Synda L. Ogletree (Dem)_Election Day Votes,Synda L. Ogletree (Dem)_Advanced Voting Votes,Synda L. Ogletree (Dem)_Absentee by Mail Votes,Synda L. Ogletree (Dem)_Provisional Votes,Synda L. Ogletree (Dem)_Choice Total,Total,
0,Troup,Hollis Hand,3554,51,124,20,0,195,7,31,14,1,53,248,
1,Troup,Administration Bldg,3907,21,49,16,1,87,8,4,2,1,15,102,
2,Troup,West Point,2054,169,190,77,2,438,328,198,276,0,802,1240,
3,Troup,East Vernon,3117,607,1026,330,1,1964,87,195,138,1,421,2385,
4,Troup,McClendon,3533,104,245,41,0,390,27,76,49,0,152,542,
5,Troup,Long Cane,3249,601,953,226,3,1783,146,287,165,0,598,2381,
6,Troup,Gray Hill,1878,453,421,100,4,978,119,143,98,0,360,1338,
