index,County,Precinct,Registered Voters,David Jenkins (Rep)_Election Day Votes,David Jenkins (Rep)_Advanced Voting Votes,David Jenkins (Rep)_Absentee by Mail Votes,David Jenkins (Rep)_Provisional Votes,David Jenkins (Rep)_Choice Total,"Bob Trammell, Jr. (I) (Dem)_Election Day Votes","Bob Trammell, Jr. (I) (Dem)_Advanced Voting Votes","Bob Trammell, Jr. (I) (Dem)_Absentee by Mail Votes","Bob Trammell, Jr. (I) (Dem)_Provisional Votes","Bob Trammell, Jr. (I) (Dem)_Choice Total",Total,
0,Troup,Administration Bldg,3907,108,243,79,0,430,304,465,345,1,1115,1545,
1,Troup,Hammett Rd,4354,258,548,207,1,1014,426,819,444,3,1692,2706,
2,Troup,Griggs Center,2457,21,45,22,0,88,362,420,346,1,1129,1217,
3,Troup,Hogansville,3806,313,1236,237,0,1786,150,475,239,0,864,2650,
4,Troup,Rosemont,3893,42,121,35,0,198,15,44,37,0,96,294,
5,Troup,McClendon,3533,4,23,1,0,28,1,2,3,0,6,34,
6,Troup,Gardner Newman,2876,240,730,200,0,1170,186,491,212,1,890,2060,
7,Troup,Highland,1686,113,301,84,0,498,110,307,170,0,587,1085,
