index,County,Precinct,Registered Voters,Ellis P. Cadenhead (I) (Rep)_Election Day Votes,Ellis P. Cadenhead (I) (Rep)_Advanced Voting Votes,Ellis P. Cadenhead (I) (Rep)_Absentee by Mail Votes,Ellis P. Cadenhead (I) (Rep)_Provisional Votes,Ellis P. Cadenhead (I) (Rep)_Choice Total,"Andrew Moody, Sr. (Dem)_Election Day Votes","Andrew Moody, Sr. (Dem)_Advanced Voting Votes","Andrew Moody, Sr. (Dem)_Absentee by Mail Votes","Andrew Moody, Sr. (Dem)_Provisional Votes","Andrew Moody, Sr. (Dem)_Choice Total",Total,
0,Troup,Hammett Rd,4354,69,168,57,0,294,33,77,45,0,155,449,
1,Troup,Hogansville,3806,313,1234,241,0,1788,141,466,234,1,842,2630,
2,Troup,Rosemont,3893,529,1457,398,0,2384,67,254,163,0,484,2868,
3,Troup,McClendon,3533,238,724,136,1,1099,44,126,67,1,238,1337,
4,Troup,Gardner Newman,2876,209,642,181,0,1032,91,317,152,1,561,1593,
